p_adj,unit,product,geo\time	2020 	2019 	2018 	2017 	2016 	2015 
NI,I15,202000,FR	100.37 f	115.93 	116.46 	102.23 	92.27 	100.00 
NI,I15,202000,HR	84.28 f	: c	: c	: c	: c	: c
NI,I15,202000,HU	101.90 f	107.40 	106.50 	99.20 	93.90 	100.00 
NI,I15,202000,IE	97.86 f	106.53 	106.54 	97.81 	91.94 	100.00 
NI,I15,202000,IT	102.10 f	112.20 	109.90 	100.50 	94.90 	100.00 
NI,I15,202000,LT	78.51 f	102.73 	104.83 	88.97 	80.49 	100.00 
NI,I15,202000,LU	91.01 f	111.92 	112.05 	97.24 	88.53 	100.00 
NI,I15,202000,LV	99.78 f	108.46 	106.81 	98.43 	93.98 	100.00 
NI,I15,202000,MT	95.06 f	95.38 	91.98 	90.56 	93.14 	100.00 
NI,I15,202000,NL	66.00 f	89.90 	104.10 	90.20 	81.60 	100.00 
NI,I15,202000,PL	100.91 f	108.07 p	106.95 	99.89 	94.73 	100.00 
NI,I15,202000,PT	102.55 f	110.96 	109.80 	101.17 	94.77 	100.00 
NI,I15,202000,RO	97.81 f	108.12 	106.10 	91.97 	93.67 	100.00 
NI,I15,202000,SE	110.50 f	124.00 	120.00 	106.90 	99.20 	100.00 
NI,I15,202000,SI	92.19 f	106.80 	108.41 	99.72 	91.57 	100.00 
NI,I15,202000,SK	109.30 f	127.90 	127.63 	94.53 	84.77 	100.00 
NI,I15,202000,UK	110.50 f	122.81 	119.24 	106.77 	94.93 	100.00 
NI,I15,202100,AT	: 	100.10 	96.50 	95.60 	101.10 	100.00 
NI,I15,202100,BE	: 	143.78 	141.47 	138.41 	128.28 	100.00 
NI,I15,202100,BG	: 	106.00 	103.40 	101.30 	99.90 	100.00 
NI,I15,202100,CY	: 	112.13 	102.17 	93.65 	80.96 	100.00 
NI,I15,202100,CZ	: 	104.20 	94.20 	91.80 	93.80 	100.00 
NI,I15,202100,DE	: 	106.80 	103.50 	102.10 	100.50 	100.00 
NI,I15,202100,DK	: 	103.63 	103.61 	103.63 	100.00 	100.00 
NI,I15,202100,EE	: 	114.72 	114.03 	102.79 	102.04 	100.00 
NI,I15,202100,EL	: 	103.27 	99.04 	98.83 	99.52 	100.00 
NI,I15,202100,ES	: 	95.50 	108.90 	98.30 	89.70 	100.00 
NI,I15,202100,EU27_2020	: 	105.39 p	105.13 	101.37 	98.75 	100.00 
NI,I15,202100,EU28	: 	106.42 p	105.71 	101.65 	98.81 	100.00 
NI,I15,202100,FI	: 	118.10 	108.28 	104.15 	99.30 	100.00 
NI,I15,202100,FR	: 	108.99 	104.91 	103.55 	103.11 	100.00 
NI,I15,202100,HR	: 	: c	: c	: c	: c	: c
NI,I15,202100,HU	: 	100.00 	100.00 	100.00 	100.00 	100.00 
NI,I15,202100,IE	: 	105.51 	102.23 	95.53 	96.47 	100.00 
NI,I15,202100,IT	: 	113.10 	107.70 	103.10 	99.30 	100.00 
NI,I15,202100,LT	: 	85.67 	83.72 	91.27 	92.61 	100.00 
NI,I15,202100,LU	: 	103.89 	97.93 	93.62 	97.07 	100.00 
NI,I15,202100,LV	: 	93.94 	85.72 	91.13 	98.12 	100.00 
NI,I15,202100,MT	: 	72.51 	72.70 	72.70 	100.00 	100.00 
NI,I15,202100,NL	: 	85.60 	93.30 	88.40 	90.00 	100.00 
NI,I15,202100,PL	: 	96.27 p	100.32 	100.24 	98.20 	100.00 
NI,I15,202100,PT	: 	: c	: c	: c	: c	: c
NI,I15,202100,RO	: 	112.04 	104.99 	97.61 	95.43 	100.00 
NI,I15,202100,SE	: 	126.70 	122.70 	109.40 	103.50 	100.00 
NI,I15,202100,SI	: 	104.52 	102.05 	100.65 	100.18 	100.00 
NI,I15,202100,SK	: 	119.80 	111.48 	94.97 	93.75 	100.00 
NI,I15,202100,UK	: 	124.08 	115.68 	106.48 	99.79 	100.00 
NI,I15,202200,AT	: 	111.30 	113.00 	96.70 	86.30 	100.00 
NI,I15,202200,BE	: 	150.46 	149.14 	124.73 	95.02 	100.00 
NI,I15,202200,BG	: 	103.70 	102.30 	92.50 	86.10 	100.00 
NI,I15,202200,CY	: 	98.15 	105.06 	94.34 	83.65 	100.00 
NI,I15,202200,CZ	: 	106.40 	105.10 	101.10 	97.80 	100.00 
NI,I15,202200,DE	: 	108.90 	103.70 	95.40 	90.00 	100.00 
NI,I15,202200,DK	: 	128.83 	122.84 	102.83 	91.38 	100.00 
NI,I15,202200,EE	: 	111.70 	108.21 	101.44 	95.93 	100.00 
NI,I15,202200,EL	: 	118.52 	115.87 	106.10 	85.52 	100.00 
NI,I15,202200,EU27_2020	: 	104.57 p	110.28 	96.66 	86.98 	100.00 
NI,I15,202200,EU28	: 	104.91 p	110.14 	96.86 	87.48 	100.00 
NI,I15,202200,FI	: 	112.51 	113.49 	100.11 	87.57 	100.00 
NI,I15,202200,FR	: 	118.59 	119.25 	100.69 	90.55 	100.00 
NI,I15,202200,HR	: 	: c	: c	: c	: c	: c
NI,I15,202200,HU	: 	101.60 	100.60 	99.70 	99.20 	100.00 
NI,I15,202200,IT	: 	103.30 	106.30 	103.00 	96.90 	100.00 
NI,I15,202200,LT	: 	108.35 	107.44 	96.96 	84.84 	100.00 
NI,I15,202200,LU	: 	115.33 	118.24 	98.94 	84.86 	100.00 
NI,I15,202200,LV	: 	107.30 	104.32 	94.42 	89.98 	100.00 
NI,I15,202200,NL	: 	78.80 	104.60 	85.10 	72.10 	100.00 
NI,I15,202200,PL	: 	113.23 p	112.72 	103.04 	97.79 	100.00 
NI,I15,202200,PT	: 	117.92 	114.51 	104.43 	93.48 	100.00 
NI,I15,202200,RO	: 	110.79 	106.30 	98.43 	96.80 	100.00 
NI,I15,202200,SE	: 	118.10 	114.50 	100.60 	92.70 	100.00 
NI,I15,202200,SI	: 	115.45 	113.60 	97.94 	86.14 	100.00 
NI,I15,202200,SK	: 	109.00 	107.78 	95.82 	94.27 	100.00 
NI,I15,202200,UK	: 	111.61 	107.53 	100.70 	97.05 	100.00 
NI,I15,202300,AT	: 	107.10 	108.70 	98.80 	92.30 	100.00 
NI,I15,202300,BE	: 	120.55 	121.45 	101.74 	84.20 	100.00 
NI,I15,202300,BG	: 	101.50 	102.50 	95.10 	89.60 	100.00 
NI,I15,202300,CY	: 	106.15 	106.41 	94.88 	85.51 	100.00 
