p_adj,unit,product,geo\time	2020 	2019 	2018 	2017 	2016 	2015 
NI,I15,211100,AT	105.40 f	104.10 	102.70 	101.60 	100.80 	100.00 
NI,I15,211100,BE	112.78 f	111.32 	108.21 	105.07 	103.01 	100.00 
NI,I15,211100,BG	113.10 f	103.60 	96.80 	95.20 	97.80 	100.00 
NI,I15,211100,CY	101.19 f	101.16 	100.35 	100.98 	98.52 	100.00 
NI,I15,211100,CZ	110.60 f	105.80 	101.70 	101.30 	100.90 	100.00 
NI,I15,211100,DE	110.70 f	109.10 	106.60 	103.90 	101.80 	100.00 
NI,I15,211100,DK	101.90 f	104.33 	103.83 	103.40 	102.31 	100.00 
NI,I15,211100,EE	103.85 f	102.66 	100.52 	99.84 	99.08 	100.00 
NI,I15,211100,EL	103.35 f	102.67 	102.01 	101.32 	100.58 	100.00 
NI,I15,211100,ES	105.55 f	104.47 	102.28 	101.46 	100.69 	100.00 
NI,I15,211100,EU27_2020	109.04 f	107.36 p	105.06 e	102.81 	101.53 	100.00 
NI,I15,211100,EU28	: 	107.37 p	105.12 e	102.69 	101.43 	100.00 
NI,I15,211100,FI	106.80 f	105.65 	103.55 	101.85 	101.16 	100.00 
NI,I15,211100,FR	107.50 f	106.67 	104.16 	102.05 	101.06 	100.00 
NI,I15,211100,HR	100.04 f	100.05 	100.04 	101.77 	99.97 	100.00 
NI,I15,211100,HU	110.90 f	107.90 	104.70 	100.70 	99.60 	100.00 
NI,I15,211100,IE	106.22 f	105.21 	103.49 	101.67 	101.06 	100.00 
NI,I15,211100,IT	108.00 f	106.20 	103.70 	102.10 	101.80 	100.00 
NI,I15,211100,LT	100.47 f	93.77 	129.40 	99.06 	109.02 	100.00 
NI,I15,211100,LU	110.44 f	108.90 	106.04 e	103.99 	101.95 	100.00 
NI,I15,211100,LV	102.38 f	102.42 	104.52 	101.82 	100.76 	100.00 
NI,I15,211100,MT	105.48 f	105.48 	103.51 	102.22 	100.97 	100.00 
NI,I15,211100,NL	109.70 f	109.50 	104.00 	103.10 	102.00 	100.00 
NI,I15,211100,PL	113.69 f	109.80 p	105.81 	102.44 	100.77 	100.00 
NI,I15,211100,PT	105.95 f	104.49 	102.64 	101.44 	100.42 	100.00 
NI,I15,211100,RO	142.01 f	116.79 	116.64 	107.19 	99.25 	100.00 
NI,I15,211100,SE	117.60 f	113.50 	109.40 	105.00 	102.20 	100.00 
NI,I15,211100,SI	113.28 f	110.37 	106.57 	102.89 	100.94 	100.00 
NI,I15,211100,SK	99.50 f	99.50 	94.20 	113.50 	104.98 	100.00 
NI,I15,211100,UK	107.53 f	107.53 	106.01 	100.83 	99.97 	100.00 
NI,I15,211110,BE	: 	108.21 	108.21 	105.19 	103.13 	100.00 
NI,I15,211110,EL	: 	100.07 	99.64 	99.25 	99.14 	100.00 
NI,I15,211110,ES	: 	106.09 	111.02 	122.61 	112.97 	100.00 
NI,I15,211110,EU27_2020	: 	104.45 p	104.56 	102.04 	102.24 	100.00 
NI,I15,211110,EU28	: 	104.45 p	104.56 	102.04 	102.24 	100.00 
NI,I15,211110,FR	: 	111.31 	109.29 	104.50 	101.22 	100.00 
NI,I15,211110,HR	: 	100.06 	100.04 	99.98 	99.94 	100.00 
NI,I15,211110,HU	: 	95.10 	91.20 	88.30 	90.50 	100.00 
NI,I15,211110,IE	: 	106.07 	103.13 	101.44 	101.18 	100.00 
NI,I15,211110,IT	: 	104.90 	102.30 	101.70 	100.90 	100.00 
NI,I15,211110,LT	: 	34.88 	117.81 	92.98 	150.72 	100.00 
NI,I15,211110,MT	: 	104.37 	102.16 	101.43 	101.41 	100.00 
NI,I15,211110,NL	: 	108.10 	102.00 	98.20 	99.10 	100.00 
NI,I15,211110,PL	: 	108.56 p	104.50 	101.31 	100.31 	100.00 
NI,I15,211110,PT	: 	109.06 	106.90 	105.21 	103.07 	100.00 
NI,I15,211110,RO	: 	114.09 	105.96 	104.76 	100.13 	100.00 
NI,I15,211110,SE	: 	114.10 	110.60 	106.90 	103.90 	100.00 
NI,I15,211120,AT	: 	102.50 	101.00 	100.50 	100.50 	100.00 
NI,I15,211120,BE	: 	111.59 	108.21 	105.06 	103.00 	100.00 
NI,I15,211120,CY	: 	103.46 	99.19 	98.58 	95.27 	100.00 
NI,I15,211120,DE	: 	109.80 	106.30 	103.70 	101.30 	100.00 
NI,I15,211120,DK	: 	104.77 	103.57 	102.37 	100.76 	100.00 
NI,I15,211120,EL	: 	104.48 	103.41 	102.46 	101.43 	100.00 
NI,I15,211120,ES	: 	102.94 	101.80 	100.93 	100.54 	100.00 
NI,I15,211120,EU27_2020	: 	107.77 p	105.15 e	102.93 	101.41 	100.00 
NI,I15,211120,EU28	: 	108.01 p	105.47 e	102.70 	101.24 	100.00 
NI,I15,211120,FI	: 	105.76 	103.38 	102.56 	101.79 	100.00 
NI,I15,211120,FR	: 	106.24 	104.38 	102.13 	101.16 	100.00 
NI,I15,211120,HR	: 	100.03 	100.02 	99.99 	99.97 	100.00 
NI,I15,211120,HU	: 	113.40 	109.30 	105.50 	101.90 	100.00 
NI,I15,211120,IE	: 	106.07 	103.13 	101.44 	101.18 	100.00 
NI,I15,211120,IT	: 	106.90 	104.40 	102.70 	102.10 	100.00 
NI,I15,211120,LT	: 	76.83 	86.63 	120.41 	117.71 	100.00 
NI,I15,211120,LU	: 	109.80 	104.50 e	103.76 	101.37 	100.00 
NI,I15,211120,MT	: 	104.07 	100.97 	92.55 	92.57 	100.00 
NI,I15,211120,NL	: 	102.30 	101.30 	99.90 	99.60 	100.00 
NI,I15,211120,PL	: 	121.37 p	112.62 	103.00 	101.01 	100.00 
NI,I15,211120,PT	: 	103.45 	101.96 	100.92 	99.90 	100.00 
NI,I15,211120,RO	: 	157.51 	146.14 	115.90 	107.51 	100.00 
NI,I15,211120,SE	: 	109.10 	106.60 	104.10 	102.30 	100.00 
NI,I15,211120,SI	: 	112.75 	108.21 	103.19 	99.92 	100.00 
NI,I15,211120,UK	: 	109.66 	107.72 	101.13 	100.05 	100.00 
NI,I15,211130,AT	: 	105.60 	103.70 	102.00 	100.90 	100.00 
NI,I15,211130,BE	: 	111.59 	108.21 	105.06 	103.00 	100.00 
NI,I15,211130,BG	: 	103.60 	96.80 	95.20 	97.80 	100.00 
NI,I15,211130,CY	: 	99.19 	99.19 	98.58 	95.27 	100.00 
NI,I15,211130,CZ	: 	105.80 	101.70 	101.30 	100.90 	100.00 
NI,I15,211130,DE	: 	108.60 	106.90 	104.10 	102.10 	100.00 
NI,I15,211130,DK	: 	107.67 	106.43 	105.37 	105.37 	100.00 
NI,I15,211130,EL	: 	102.42 	102.01 	101.41 	100.56 	100.00 
NI,I15,211130,ES	: 	111.98 	104.42 	103.63 	101.25 	100.00 
NI,I15,211130,EU27_2020	: 	107.76 p	105.92 e	102.82 	101.56 	100.00 
NI,I15,211130,EU28	: 	107.76 p	105.92 e	102.82 	101.56 	100.00 
NI,I15,211130,FI	: 	104.97 	103.45 	101.59 	100.73 	100.00 
NI,I15,211130,FR	: 	106.78 	103.71 	101.86 	100.98 	100.00 
NI,I15,211130,HR	: 	100.06 	100.04 	100.04 	99.96 	100.00 
NI,I15,211130,HU	: 	103.60 	101.40 	97.20 	98.20 	100.00 
NI,I15,211130,IE	: 	107.00 	105.65 	102.45 	100.83 	100.00 
NI,I15,211130,IT	: 	108.00 	104.70 	101.80 	101.30 	100.00 
NI,I15,211130,LT	: 	104.25 	141.67 	95.09 	103.02 	100.00 
NI,I15,211130,LU	: 	108.60 	106.55 e	104.07 	102.14 	100.00 
NI,I15,211130,MT	: 	133.08 	133.08 	135.27 	110.46 	100.00 
NI,I15,211130,NL	: 	108.80 	104.90 	103.70 	102.40 	100.00 
NI,I15,211130,PL	: 	112.84 p	108.40 	104.43 	101.95 	100.00 
NI,I15,211130,PT	: 	105.84 	103.24 	102.03 	101.25 	100.00 
NI,I15,211130,RO	: 	98.20 	108.60 	95.31 	94.51 	100.00 
NI,I15,211130,SE	: 	117.20 	111.60 	106.00 	102.90 	100.00 
NI,I15,211130,SI	: 	112.11 	107.00 	103.22 	101.53 	100.00 
NI,I15,211140,AT	: 	103.80 	102.80 	101.70 	100.70 	100.00 
NI,I15,211140,BE	: 	111.59 	108.21 	105.06 	103.00 	100.00 
NI,I15,211140,CY	: 	100.38 	100.84 	102.00 	99.91 	100.00 
NI,I15,211140,DK	: 	103.06 	103.05 	103.09 	101.81 	100.00 
NI,I15,211140,EE	: 	102.66 	100.52 	99.84 	99.08 	100.00 
NI,I15,211140,EL	: 	102.37 	101.82 	101.16 	100.45 	100.00 
NI,I15,211140,ES	: 	100.29 	100.72 	99.30 	99.12 	100.00 
NI,I15,211140,EU27_2020	: 	106.04 p	103.26 	102.73 	101.54 	100.00 
NI,I15,211140,EU28	: 	105.62 p	103.03 	102.53 	101.42 	100.00 
NI,I15,211140,FI	: 	106.35 	103.82 	101.60 	101.17 	100.00 
NI,I15,211140,HR	: 	100.05 	100.04 	104.50 	99.98 	100.00 
NI,I15,211140,HU	: 	112.00 	103.70 	100.60 	99.40 	100.00 
NI,I15,211140,IE	: 	104.19 	102.82 	101.47 	101.10 	100.00 
NI,I15,211140,IT	: 	103.60 	102.00 	101.60 	102.00 	100.00 
NI,I15,211140,LT	: 	98.33 	94.18 	99.77 	90.20 	100.00 
NI,I15,211140,LV	: 	102.42 	104.52 	101.82 	100.76 	100.00 
NI,I15,211140,MT	: 	101.35 	101.35 	101.35 	101.35 	100.00 
NI,I15,211140,NL	: 	110.10 	104.10 	103.30 	102.10 	100.00 
NI,I15,211140,PL	: 	107.63 p	104.43 	102.07 	100.57 	100.00 
NI,I15,211140,PT	: 	104.65 	103.08 	101.35 	100.00 	100.00 
NI,I15,211140,RO	: 	88.62 	91.72 	120.47 	94.47 	100.00 
NI,I15,211140,SE	: 	112.30 	108.60 	104.40 	101.60 	100.00 
NI,I15,211140,SI	: 	103.43 	103.04 	101.82 	101.75 	100.00 
NI,I15,211140,SK	: 	99.50 	94.20 	113.50 	104.98 	100.00 
NI,I15,211140,UK	: 	99.69 	99.70 	99.73 	99.68 	100.00 
NI,I15,211141,AT	: 	107.40 	105.70 	103.80 	101.70 	100.00 
NI,I15,211141,BE	: 	111.59 	108.21 	105.06 	103.00 	100.00 
NI,I15,211141,CY	: 	96.71 	99.15 	98.56 	95.25 	100.00 
NI,I15,211141,DK	: 	101.62 	103.40 	103.13 	101.45 	100.00 
NI,I15,211141,EL	: 	103.08 	102.40 	101.67 	100.58 	100.00 
NI,I15,211141,EU27_2020	: 	104.32 p	103.01 	102.20 	100.72 	100.00 
NI,I15,211141,EU28	: 	104.32 p	103.01 	102.20 	100.72 	100.00 
NI,I15,211141,FI	: 	100.72 	98.26 	98.83 	101.14 	100.00 
NI,I15,211141,HR	: 	100.04 	100.03 	100.01 	99.96 	100.00 
NI,I15,211141,HU	: 	112.00 	103.70 	100.60 	99.40 	100.00 
NI,I15,211141,IT	: 	101.20 	100.70 	100.30 	99.90 	100.00 
NI,I15,211141,LT	: 	118.33 	112.20 	93.85 	100.70 	100.00 
NI,I15,211141,MT	: 	101.35 	101.35 	101.35 	101.35 	100.00 
NI,I15,211141,NL	: 	106.40 	103.70 	103.00 	102.20 	100.00 
NI,I15,211141,PL	: 	110.46 p	106.22 	102.43 	100.51 	100.00 
NI,I15,211141,PT	: 	: c	: c	: c	: c	: c
NI,I15,211141,RO	: 	108.00 	117.99 	129.57 	83.09 	100.00 
NI,I15,211141,SE	: 	112.90 	108.80 	105.00 	102.20 	100.00 
NI,I15,211141,SI	: 	: c	: c	: c	: c	: c
NI,I15,211142,AT	: 	104.70 	103.70 	102.50 	100.80 	100.00 
NI,I15,211142,BE	: 	111.59 	108.21 	105.06 	103.00 	100.00 
NI,I15,211142,CY	: 	101.24 	101.24 	102.81 	101.01 	100.00 
NI,I15,211142,DK	: 	103.32 	102.99 	103.08 	101.87 	100.00 
NI,I15,211142,EL	: 	100.62 	100.39 	99.89 	100.14 	100.00 
NI,I15,211142,EU27_2020	: 	105.75 p	103.16 	102.85 	102.04 	100.00 
NI,I15,211142,EU28	: 	104.94 p	102.70 	102.43 	101.72 	100.00 
NI,I15,211142,FI	: 	111.68 	108.91 	104.54 	102.67 	100.00 
NI,I15,211142,HR	: 	100.06 	100.04 	100.00 	99.99 	100.00 
NI,I15,211142,HU	: 	112.00 	103.70 	100.60 	99.40 	100.00 
NI,I15,211142,IE	: 	104.19 	102.82 	101.47 	101.10 	100.00 
NI,I15,211142,IT	: 	104.80 	102.60 	102.20 	103.00 	100.00 
NI,I15,211142,LT	: 	110.60 	120.47 	110.51 	83.98 	100.00 
NI,I15,211142,NL	: 	110.80 	104.10 	103.40 	102.10 	100.00 
NI,I15,211142,PL	: 	105.34 p	103.43 	102.43 	100.80 	100.00 
NI,I15,211142,PT	: 	: c	: c	: c	: c	: c
NI,I15,211142,RO	: 	79.35 	79.12 	116.42 	100.03 	100.00 
NI,I15,211142,SE	: 	110.20 	106.70 	103.90 	101.20 	100.00 
NI,I15,211142,SI	: 	: c	: c	: c	: c	: c
NI,I15,211142,UK	: 	99.72 	99.72 	99.73 	99.71 	100.00 
NI,I15,211149,AT	: 	102.40 	101.40 	100.70 	100.50 	100.00 
NI,I15,211149,EE	: 	102.66 	100.52 	99.84 	99.08 	100.00 
NI,I15,211149,ES	: 	100.29 	100.72 	99.30 	99.12 	100.00 
NI,I15,211149,EU27_2020	: 	107.54 p	103.47 	102.94 	101.41 	100.00 
NI,I15,211149,EU28	: 	107.52 p	103.46 	102.93 	101.41 	100.00 
NI,I15,211149,FI	: 	106.23 	103.79 	101.33 	100.22 	100.00 
NI,I15,211149,HR	: 	100.06 	100.04 	112.71 	99.98 	100.00 
NI,I15,211149,LT	: 	92.56 	87.92 	100.47 	88.06 	100.00 
NI,I15,211149,LV	: 	102.42 	104.52 	101.82 	100.76 	100.00 
NI,I15,211149,NL	: 	110.80 	104.10 	103.40 	102.10 	100.00 
NI,I15,211149,PL	: 	107.09 p	104.02 	101.92 	100.55 	100.00 
NI,I15,211149,PT	: 	: c	: c	: c	: c	: c
NI,I15,211149,RO	: 	95.05 	101.37 	115.52 	87.60 	100.00 
NI,I15,211149,SE	: 	120.20 	116.30 	105.80 	102.20 	100.00 
NI,I15,211149,SI	: 	: c	: c	: c	: c	: c
NI,I15,211149,SK	: 	99.50 	94.20 	113.50 	104.98 	100.00 
NI,I15,211149,UK	: 	92.78 	95.41 	98.51 	94.27 	100.00 
NI,I15,211200,AT	107.90 f	106.20 	103.90 	102.30 	100.60 	100.00 
NI,I15,211200,BE	111.63 f	110.60 	107.25 	105.06 	103.00 	100.00 
NI,I15,211200,BG	87.50 f	88.40 	83.30 	91.80 	101.40 	100.00 
NI,I15,211200,CY	99.76 f	99.51 	99.77 	98.64 	99.28 	100.00 
NI,I15,211200,CZ	108.10 f	104.40 	103.20 	103.00 	101.20 	100.00 
NI,I15,211200,DE	108.20 f	107.00 	105.20 	103.20 	100.70 	100.00 
NI,I15,211200,DK	111.98 f	109.11 	105.20 	105.74 	102.16 	100.00 
NI,I15,211200,EE	111.78 f	110.73 	109.16 	105.78 	102.12 	100.00 
NI,I15,211200,EL	103.87 f	103.50 	103.45 	102.72 	100.58 	100.00 
NI,I15,211200,ES	115.34 f	110.23 	103.29 	100.30 	99.73 	100.00 
NI,I15,211200,EU27_2020	112.75 f	109.34 p	107.24 e	103.52 	100.59 	100.00 
NI,I15,211200,EU28	: 	109.12 p	107.14 e	103.34 	100.64 	100.00 
NI,I15,211200,FI	110.70 f	109.14 	105.19 	101.75 	100.03 	100.00 
NI,I15,211200,FR	111.14 f	109.12 	107.08 	103.16 	100.77 	100.00 
NI,I15,211200,HR	104.65 f	104.66 	104.64 	101.19 	99.97 	100.00 
NI,I15,211200,HU	125.40 f	117.60 	116.00 	112.00 	103.90 	100.00 
NI,I15,211200,IE	104.43 f	103.37 	100.30 	99.05 	99.72 	100.00 
NI,I15,211200,IT	111.70 f	110.70 	111.40 	107.10 	102.40 	100.00 
NI,I15,211200,LT	95.76 f	58.93 	78.44 	80.26 	104.18 	100.00 
NI,I15,211200,LU	108.67 f	107.04 	104.00 e	102.85 	100.66 	100.00 
NI,I15,211200,MT	135.81 f	123.17 	110.52 	110.52 	106.07 	100.00 
NI,I15,211200,NL	110.10 f	110.20 	103.70 	102.20 	101.40 	100.00 
NI,I15,211200,PL	111.39 f	106.80 p	103.80 	102.38 	100.46 	100.00 
NI,I15,211200,PT	106.35 f	105.27 	103.07 	101.76 	100.88 	100.00 
NI,I15,211200,RO	165.04 f	138.64 	125.77 	108.28 	84.43 	100.00 
NI,I15,211200,SE	120.10 f	115.20 	111.30 	104.70 	102.00 	100.00 
NI,I15,211200,SI	112.94 f	110.85 	107.20 	103.38 	101.85 	100.00 
NI,I15,211200,SK	97.10 f	92.90 	94.00 	99.15 	99.94 	100.00 
NI,I15,211200,UK	109.17 f	107.63 	106.46 	102.06 	101.03 	100.00 
NI,I15,211210,AT	: 	106.70 	104.40 	103.00 	100.90 	100.00 
NI,I15,211210,BE	: 	110.51 	107.16 	105.06 	103.00 	100.00 
NI,I15,211210,BG	: 	88.40 	83.30 	91.80 	101.40 	100.00 
NI,I15,211210,CY	: 	99.77 	99.77 	98.63 	99.28 	100.00 
NI,I15,211210,CZ	: 	103.20 	101.60 	102.20 	100.90 	100.00 
NI,I15,211210,DE	: 	107.00 	105.30 	103.20 	100.60 	100.00 
NI,I15,211210,DK	: 	109.83 	105.54 	106.22 	102.39 	100.00 
NI,I15,211210,EE	: 	110.73 	109.16 	105.78 	102.12 	100.00 
NI,I15,211210,EL	: 	100.37 	99.99 	99.34 	99.84 	100.00 
NI,I15,211210,ES	: 	110.82 	103.48 	100.34 	99.71 	100.00 
NI,I15,211210,EU27_2020	: 	109.48 p	108.79 e	104.13 	101.26 	100.00 
NI,I15,211210,EU28	: 	109.40 p	108.64 e	103.97 	101.32 	100.00 
NI,I15,211210,FI	: 	109.14 	105.19 	101.75 	100.03 	100.00 
NI,I15,211210,FR	: 	111.31 	109.29 	104.50 	101.22 	100.00 
NI,I15,211210,HR	: 	104.80 	104.79 	101.22 	99.97 	100.00 
NI,I15,211210,HU	: 	114.10 	109.10 	103.40 	102.30 	100.00 
NI,I15,211210,IE	: 	106.98 	103.19 	100.80 	100.73 	100.00 
NI,I15,211210,IT	: 	110.70 	111.40 	107.10 	102.40 	100.00 
NI,I15,211210,LT	: 	58.93 	78.44 	80.26 	104.18 	100.00 
NI,I15,211210,LU	: 	107.00 	103.90 e	102.80 	100.55 	100.00 
NI,I15,211210,MT	: 	123.17 	110.52 	110.52 	106.07 	100.00 
NI,I15,211210,NL	: 	110.80 	104.10 	103.40 	102.10 	100.00 
NI,I15,211210,PL	: 	107.14 p	104.21 	102.60 	100.38 	100.00 
NI,I15,211210,PT	: 	105.45 	103.13 	101.79 	100.90 	100.00 
NI,I15,211210,RO	: 	137.71 	174.44 	110.66 	86.36 	100.00 
NI,I15,211210,SE	: 	120.20 	115.10 	106.40 	102.20 	100.00 
NI,I15,211210,SI	: 	110.85 	107.20 	103.38 	101.85 	100.00 
NI,I15,211210,SK	: 	92.70 	93.88 	99.08 	99.92 	100.00 
NI,I15,211210,UK	: 	108.91 	107.63 	102.85 	101.72 	100.00 
NI,I15,211290,AT	: 	105.30 	103.10 	101.20 	100.30 	100.00 
NI,I15,211290,BE	: 	111.59 	108.21 	105.06 	103.00 	100.00 
NI,I15,211290,CY	: 	98.94 	99.76 	98.64 	99.28 	100.00 
NI,I15,211290,CZ	: 	110.50 	110.60 	106.80 	102.70 	100.00 
NI,I15,211290,DE	: 	107.20 	104.40 	103.10 	101.20 	100.00 
NI,I15,211290,DK	: 	98.98 	100.35 	99.09 	99.05 	100.00 
NI,I15,211290,EL	: 	104.22 	104.26 	103.51 	100.75 	100.00 
NI,I15,211290,ES	: 	102.02 	100.67 	99.77 	99.97 	100.00 
NI,I15,211290,EU27_2020	: 	108.64 p	102.31 e	101.83 	98.34 	100.00 
NI,I15,211290,EU28	: 	107.92 p	102.27 e	101.49 	98.34 	100.00 
NI,I15,211290,FR	: 	103.28 	101.21 	99.60 	99.60 	100.00 
NI,I15,211290,HR	: 	100.00 	100.00 	100.00 	100.00 	100.00 
NI,I15,211290,HU	: 	125.00 	130.60 	130.20 	107.50 	100.00 
NI,I15,211290,IE	: 	97.45 	95.57 	96.19 	98.06 	100.00 
NI,I15,211290,IT	: 	110.00 	107.50 	104.70 	101.90 	100.00 
NI,I15,211290,LU	: 	107.18 	104.40 e	103.02 	101.11 	100.00 
NI,I15,211290,NL	: 	108.10 	102.00 	98.20 	99.10 	100.00 
NI,I15,211290,PL	: 	104.50 p	101.03 	100.86 	101.04 	100.00 
NI,I15,211290,PT	: 	102.00 	102.00 	101.21 	100.50 	100.00 
NI,I15,211290,RO	: 	139.18 	97.50 	106.90 	83.31 	100.00 
NI,I15,211290,SE	: 	109.60 	107.10 	102.80 	101.70 	100.00 
NI,I15,211290,SK	: 	94.60 	95.45 	99.93 	100.05 	100.00 
NI,I15,211290,UK	: 	102.69 	101.96 	99.03 	98.37 	100.00 
NI,I15,212000,AT	115.80 f	112.00 	108.40 	104.60 	101.80 	100.00 
NI,I15,212000,BE	105.80 f	108.67 	108.75 	105.23 	100.28 	100.00 
NI,I15,212000,BG	95.40 f	102.70 	94.50 	92.50 	83.60 	100.00 
NI,I15,212000,CY	106.27 f	103.56 	100.07 	101.14 	98.72 	100.00 
NI,I15,212000,CZ	114.90 f	111.10 	106.30 	102.80 	101.10 	100.00 
NI,I15,212000,DE	117.70 f	114.30 	109.20 	104.90 	101.80 	100.00 
NI,I15,212000,DK	105.98 f	104.88 	104.23 	102.40 	101.65 	100.00 
NI,I15,212000,EE	104.47 f	104.45 	102.36 	100.36 	98.92 	100.00 
NI,I15,212000,EL	95.76 f	96.31 	96.65 	98.03 	98.10 	100.00 
NI,I15,212000,ES	102.20 f	103.44 	101.28 	99.57 	98.01 	100.00 
NI,I15,212000,EU27_2020	109.65 f	108.72 p	106.46 	103.98 	101.30 	100.00 
NI,I15,212000,EU28	: 	108.87 p	106.58 	103.94 	101.14 	100.00 
NI,I15,212000,FI	104.00 f	103.37 	102.20 	100.44 	100.20 	100.00 
NI,I15,212000,FR	108.11 f	109.28 	108.34 	102.90 	99.35 	100.00 
NI,I15,212000,HR	108.50 f	108.38 	106.23 	99.71 	100.07 	100.00 
NI,I15,212000,HU	139.00 f	129.90 	118.50 	108.30 	102.80 	100.00 
NI,I15,212000,IE	102.28 f	101.86 	101.03 	100.45 	100.87 	100.00 
NI,I15,212000,IT	102.30 f	102.10 	101.40 	100.20 	100.40 	100.00 
NI,I15,212000,LT	112.74 f	127.52 	142.07 	189.00 	155.88 	100.00 
NI,I15,212000,LU	110.05 f	107.70 	104.76 	103.90 	100.77 	100.00 
NI,I15,212000,LV	115.81 f	108.40 	108.18 	102.95 	100.43 	100.00 
NI,I15,212000,MT	101.56 f	101.18 	98.91 	102.39 	103.52 	100.00 
NI,I15,212000,NL	112.90 f	109.90 	107.00 	104.60 	102.40 	100.00 
NI,I15,212000,PL	107.34 f	104.61 p	101.89 	99.54 	98.97 	100.00 
NI,I15,212000,PT	107.43 f	104.80 	103.29 	101.67 	99.81 	100.00 
NI,I15,212000,RO	111.57 f	108.95 	104.03 	99.90 	97.64 	100.00 
NI,I15,212000,SE	106.40 f	107.70 	105.80 	103.00 	100.50 	100.00 
NI,I15,212000,SI	112.21 f	110.30 	107.91 	104.37 	101.76 	100.00 
NI,I15,212000,SK	115.10 f	111.90 	107.28 	103.61 	101.01 	100.00 
NI,I15,212000,UK	111.00 f	110.47 	107.89 	103.41 	99.45 	100.00 
NI,I15,212100,AT	: 	112.00 	108.40 	104.60 	101.80 	100.00 
NI,I15,212100,BE	: 	108.67 	108.75 	105.23 	100.28 	100.00 
NI,I15,212100,BG	: 	102.70 	94.50 	92.50 	83.60 	100.00 
NI,I15,212100,CY	: 	103.74 	100.07 	101.14 	98.72 	100.00 
NI,I15,212100,CZ	: 	111.10 	106.30 	102.80 	101.10 	100.00 
NI,I15,212100,DE	: 	114.30 	109.20 	104.90 	101.80 	100.00 
NI,I15,212100,DK	: 	104.88 	104.23 	102.40 	101.65 	100.00 
NI,I15,212100,EE	: 	104.45 	102.36 	100.36 	98.92 	100.00 
NI,I15,212100,EL	: 	96.31 	96.65 	98.03 	98.10 	100.00 
NI,I15,212100,ES	: 	103.44 	101.28 	99.57 	98.01 	100.00 
NI,I15,212100,EU27_2020	: 	108.71 p	106.49 	104.01 	101.29 	100.00 
NI,I15,212100,EU28	: 	108.92 p	106.67 	104.02 	101.14 	100.00 
NI,I15,212100,FI	: 	103.37 	102.20 	100.44 	100.20 	100.00 
NI,I15,212100,FR	: 	109.28 	108.34 	102.90 	99.35 	100.00 
NI,I15,212100,HR	: 	108.46 	106.30 	99.71 	100.08 	100.00 
NI,I15,212100,HU	: 	129.90 	118.50 	108.30 	102.80 	100.00 
NI,I15,212100,IE	: 	101.86 	101.03 	100.45 	100.87 	100.00 
NI,I15,212100,IT	: 	102.00 	101.30 	100.10 	100.40 	100.00 
NI,I15,212100,LT	: 	127.52 	142.07 	189.00 	155.88 	100.00 
NI,I15,212100,LU	: 	107.70 	104.76 	103.90 	100.77 	100.00 
NI,I15,212100,LV	: 	108.40 	108.18 	102.95 	100.43 	100.00 
NI,I15,212100,MT	: 	101.18 	98.91 	102.39 	103.52 	100.00 
NI,I15,212100,NL	: 	109.90 	107.00 	104.60 	102.40 	100.00 
NI,I15,212100,PL	: 	106.74 p	103.71 	101.10 	100.23 	100.00 
NI,I15,212100,PT	: 	104.37 	103.05 	101.71 	99.97 	100.00 
NI,I15,212100,RO	: 	108.42 	103.84 	99.79 	97.63 	100.00 
NI,I15,212100,SE	: 	107.70 	105.80 	103.00 	100.50 	100.00 
NI,I15,212100,SK	: 	111.90 	107.28 	103.61 	101.02 	100.00 
NI,I15,212100,UK	: 	112.02 	109.43 	104.17 	99.00 	100.00 
NI,I15,212900,CY	: 	103.15 	100.07 	101.14 	98.72 	100.00 
NI,I15,212900,CZ	: 	111.20 	106.20 	102.80 	101.10 	100.00 
NI,I15,212900,EU27_2020	: 	108.83 p	105.98 	103.44 	101.35 	100.00 
NI,I15,212900,EU28	: 	108.29 p	105.52 	102.91 	101.05 	100.00 
NI,I15,212900,HR	: 	100.75 	99.77 	99.93 	99.19 	100.00 
NI,I15,212900,IT	: 	104.80 	104.00 	100.80 	98.80 	100.00 
NI,I15,212900,NL	: 	109.90 	107.00 	104.60 	102.40 	100.00 
NI,I15,212900,PL	: 	85.53 p	85.53 	85.44 	87.58 	100.00 
NI,I15,212900,PT	: 	105.23 	103.53 	101.63 	99.64 	100.00 
NI,I15,212900,RO	: 	111.94 	105.14 	100.53 	97.70 	100.00 
NI,I15,212900,SI	: 	110.30 	107.91 	104.37 	101.76 	100.00 
NI,I15,212900,SK	: 	111.20 	107.40 	103.55 	101.00 	100.00 
NI,I15,212900,UK	: 	107.11 	104.54 	101.78 	100.42 	100.00 
NI,I15,219000,AT	100.10 f	98.70 	99.80 	100.00 	101.00 	100.00 
NI,I15,219000,BE	105.22 f	107.80 	107.88 	100.00 	100.00 	100.00 
NI,I15,219000,BG	84.60 f	86.60 	90.20 	90.10 	93.10 	100.00 
NI,I15,219000,CY	95.41 f	98.68 	100.07 	101.14 	98.72 	100.00 
NI,I15,219000,DK	100.36 f	98.35 	96.78 	96.78 	103.19 	100.00 
NI,I15,219000,ES	102.53 f	104.90 	103.28 	100.30 	97.38 	100.00 
NI,I15,219000,EU27_2020	106.57 f	106.87 p	104.87 	101.41 	99.56 	100.00 
