# Trading Date,Product Name,Product Symbol,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,Settlement Price,Change,Exchange Volume MWh,Exchange Traded Contracts,TradeReg Volume MWh,TradeReg Traded Contracts
"2021-07-16","F PXE SI BL CAL-22","FZBY 2022","202212","2022-01-01","2022-12-31",8760,,,,,76.6,0.59,,,,
"2021-07-16","F PXE SI BL CAL-23","FZBY 2023","202312","2023-01-01","2023-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL CAL-24","FZBY 2024","202412","2024-01-01","2024-12-31",8784,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL CAL-25","FZBY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL CAL-26","FZBY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL CAL-27","FZBY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL M01-22","FZBM Jan22","202201","2022-01-01","2022-01-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL M07-21","FZBM Jul21","202107","2021-07-01","2021-07-31",744,,,,,92.65,0.15,,,,
"2021-07-16","F PXE SI BL M08-21","FZBM Aug21","202108","2021-08-01","2021-08-31",744,,,,,93.53,0.82,,,,
"2021-07-16","F PXE SI BL M09-21","FZBM Sep21","202109","2021-09-01","2021-09-30",720,,,,,95.27,1.08,,,,
"2021-07-16","F PXE SI BL M10-21","FZBM Oct21","202110","2021-10-01","2021-10-31",745,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL M11-21","FZBM Nov21","202111","2021-11-01","2021-11-30",720,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL M12-21","FZBM Dec21","202112","2021-12-01","2021-12-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL Q01-22","FZBQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL Q01-23","FZBQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL Q02-22","FZBQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL Q02-23","FZBQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL Q03-22","FZBQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,,0.00,,,,
"2021-07-16","F PXE SI BL Q04-21","FZBQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,95.9,2.22,,,,
"2021-07-16","F PXE SI BL Q04-22","FZBQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL CAL-22","FVPY 2022","202212","2022-01-03","2022-12-30",3120,,,,,88.37,0.51,,,,
"2021-07-16","F PXE SI PL CAL-23","FVPY 2023","202312","2023-01-02","2023-12-29",3120,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL CAL-24","FVPY 2024","202412","2024-01-01","2024-12-31",3144,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL CAL-25","FVPY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL CAL-26","FVPY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL Q01-22","FVPQ Q122","202203","2022-01-03","2022-03-31",768,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL Q02-22","FVPQ Q222","202206","2022-04-01","2022-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL Q03-22","FVPQ Q322","202209","2022-07-01","2022-09-30",792,,,,,,0.00,,,,
"2021-07-16","F PXE SI PL Q04-21","FVPQ Q421","202112","2021-10-01","2021-12-31",792,,,,,112.53,0.79,,,,
"2021-07-16","F PXE SK BL CAL-22","FYBY 2022","202212","2022-01-01","2022-12-31",8760,75.63,75.8,75.4,75.4,75.55,0.49,87600,10,,
"2021-07-16","F PXE SK BL CAL-23","FYBY 2023","202312","2023-01-01","2023-12-31",8760,,,,,65.92,0.38,,,,
"2021-07-16","F PXE SK BL CAL-24","FYBY 2024","202412","2024-01-01","2024-12-31",8784,,,,,62.41,-0.10,,,,
"2021-07-16","F PXE SK BL CAL-25","FYBY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SK BL CAL-26","FYBY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SK BL CAL-27","FYBY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE SK BL M01-22","FYBM Jan22","202201","2022-01-01","2022-01-31",744,,,,,92.1,1.16,,,,
"2021-07-16","F PXE SK BL M07-21","FYBM Jul21","202107","2021-07-01","2021-07-31",744,,,,,90.77,0.12,,,,
"2021-07-16","F PXE SK BL M08-21","FYBM Aug21","202108","2021-08-01","2021-08-31",744,86.3,86.3,86.3,86.3,87.13,-0.18,744,1,,
"2021-07-16","F PXE SK BL M09-21","FYBM Sep21","202109","2021-09-01","2021-09-30",720,,,,,89.27,0.98,,,,
"2021-07-16","F PXE SK BL M10-21","FYBM Oct21","202110","2021-10-01","2021-10-31",745,,,,,90.35,1.47,,,,
"2021-07-16","F PXE SK BL M11-21","FYBM Nov21","202111","2021-11-01","2021-11-30",720,,,,,94.25,1.07,,,,
"2021-07-16","F PXE SK BL M12-21","FYBM Dec21","202112","2021-12-01","2021-12-31",744,,,,,90.43,1.08,,,,
"2021-07-16","F PXE SK BL Q01-22","FYBQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,89.61,1.09,,,,
"2021-07-16","F PXE SK BL Q01-23","FYBQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE SK BL Q02-22","FYBQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,67.94,0.50,,,,
"2021-07-16","F PXE SK BL Q02-23","FYBQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE SK BL Q03-22","FYBQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,70.34,0.72,,,,
"2021-07-16","F PXE SK BL Q04-21","FYBQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,91.65,1.21,,,,
"2021-07-16","F PXE SK BL Q04-22","FYBQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE SK PL CAL-22","FYPY 2022","202212","2022-01-03","2022-12-30",3120,,,,,89.57,0.45,,,,
"2021-07-16","F PXE SK PL CAL-23","FYPY 2023","202312","2023-01-02","2023-12-29",3120,,,,,79.96,0.10,,,,
"2021-07-16","F PXE SK PL CAL-24","FYPY 2024","202412","2024-01-01","2024-12-31",3144,,,,,77.4,-0.03,,,,
"2021-07-16","F PXE SK PL CAL-25","FYPY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE SK PL CAL-26","FYPY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE SK PL CAL-27","FYPY 2027","202712","2027-01-01","2027-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE SK PL M01-22","FYPM Jan22","202201","2022-01-03","2022-01-31",252,,,,,114.2,0.41,,,,
"2021-07-16","F PXE SK PL M07-21","FYPM Jul21","202107","2021-07-01","2021-07-30",264,,,,,100.93,0.28,,,,
"2021-07-16","F PXE SK PL M08-21","FYPM Aug21","202108","2021-08-02","2021-08-31",264,,,,,98.54,0.52,,,,
"2021-07-16","F PXE SK PL M09-21","FYPM Sep21","202109","2021-09-01","2021-09-30",264,,,,,99.93,1.25,,,,
"2021-07-16","F PXE SK PL M10-21","FYPM Oct21","202110","2021-10-01","2021-10-29",252,,,,,99.84,0.33,,,,
"2021-07-16","F PXE SK PL M11-21","FYPM Nov21","202111","2021-11-01","2021-11-30",264,,,,,114.14,0.95,,,,
"2021-07-16","F PXE SK PL M12-21","FYPM Dec21","202112","2021-12-01","2021-12-31",276,,,,,110.81,0.97,,,,
"2021-07-16","F PXE SK PL Q01-22","FYPQ Q122","202203","2022-01-03","2022-03-31",768,,,,,107.22,0.42,,,,
"2021-07-16","F PXE SK PL Q01-23","FYPQ Q123","202303","2023-01-02","2023-03-31",780,,,,,,0.00,,,,
"2021-07-16","F PXE SK PL Q02-22","FYPQ Q222","202206","2022-04-01","2022-06-30",780,,,,,79.18,0.08,,,,
"2021-07-16","F PXE SK PL Q02-23","FYPQ Q223","202306","2023-04-03","2023-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE SK PL Q03-22","FYPQ Q322","202209","2022-07-01","2022-09-30",792,,,,,81.32,0.58,,,,
"2021-07-16","F PXE SK PL Q04-21","FYPQ Q421","202112","2021-10-01","2021-12-31",792,,,,,108.43,0.77,,,,
"2021-07-16","F PXE SK PL Q04-22","FYPQ Q422","202212","2022-10-03","2022-12-30",780,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL CAL-22","G1BY 2022","202212","2022-01-01","2022-12-31",8760,,,,,25.534,-0.26,,,,
"2021-07-16","G PXE CZ BL CAL-23","G1BY 2023","202312","2023-01-01","2023-12-31",8760,,,,,19.874,-0.88,,,,
"2021-07-16","G PXE CZ BL CAL-24","G1BY 2024","202412","2024-01-01","2024-12-31",8784,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL CAL-25","G1BY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL CAL-26","G1BY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL CAL-27","G1BY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL M01-22","G1BM Jan22","202201","2022-01-01","2022-01-31",744,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL M07-21","G1BM Jul21","202107","2021-07-01","2021-07-31",288,,,,,34.14,0.00,,,,
"2021-07-16","G PXE CZ BL M08-21","G1BM Aug21","202108","2021-08-01","2021-08-31",744,,,,,34.998,0.28,,,,
"2021-07-16","G PXE CZ BL M09-21","G1BM Sep21","202109","2021-09-01","2021-09-30",720,,,,,35.187,0.32,,,,
"2021-07-16","G PXE CZ BL M10-21","G1BM Oct21","202110","2021-10-01","2021-10-31",745,,,,,35.274,0.50,,,,
"2021-07-16","G PXE CZ BL M11-21","G1BM Nov21","202111","2021-11-01","2021-11-30",720,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL M12-21","G1BM Dec21","202112","2021-12-01","2021-12-31",744,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL Q01-22","G1BQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,33.946,0.19,,,,
"2021-07-16","G PXE CZ BL Q01-23","G1BQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL Q02-22","G1BQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,23.126,-0.32,,,,
"2021-07-16","G PXE CZ BL Q02-23","G1BQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL Q03-22","G1BQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,22.432,-0.74,,,,
"2021-07-16","G PXE CZ BL Q04-21","G1BQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,35.166,0.46,,,,
"2021-07-16","G PXE CZ BL Q04-22","G1BQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL Sum 22","G1BS Summer 22","","2022-04-01","2022-09-30",4392,,,,,22.777,-0.53,,,,
"2021-07-16","G PXE CZ BL Sum 23","G1BS Summer 23","","2023-04-01","2023-09-30",4392,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL Sum 24","G1BS Summer 24","","2024-04-01","2024-09-30",4392,,,,,,0.00,,,,
"2021-07-16","G PXE CZ BL Win 21","G1BS Winter 21","","2021-10-01","2022-03-31",4368,,,,,34.563,0.33,,,,
"2021-07-16","G PXE CZ BL Win 22","G1BS Winter 22","","2022-10-01","2023-03-31",4368,,,,,23.268,-0.67,,,,
"2021-07-16","G PXE CZ BL Win 23","G1BS Winter 23","","2023-10-01","2024-03-31",4392,,,,,,0.00,,,,

