# Trading Date,Product Name,Product Symbol,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,Settlement Price,Change,Exchange Volume MWh,Exchange Traded Contracts,TradeReg Volume MWh,TradeReg Traded Contracts
"2021-07-16","F PXE HU BL M01-22","F9BM Jan22","202201","2022-01-01","2022-01-31",744,,,,,93.6,1.36,,,,
"2021-07-16","F PXE HU BL M07-21","F9BM Jul21","202107","2021-07-01","2021-07-31",744,,,,,93.39,0.30,,,,
"2021-07-16","F PXE HU BL M08-21","F9BM Aug21","202108","2021-08-01","2021-08-31",744,91.7,93.4,91.7,93.1,93.53,0.82,6696,9,23064,
"2021-07-16","F PXE HU BL M09-21","F9BM Sep21","202109","2021-09-01","2021-09-30",720,94.5,94.5,94.5,94.5,95.27,1.08,3600,5,,
"2021-07-16","F PXE HU BL M10-21","F9BM Oct21","202110","2021-10-01","2021-10-31",745,,,,,94.6,2.48,,,,
"2021-07-16","F PXE HU BL M11-21","F9BM Nov21","202111","2021-11-01","2021-11-30",720,,,,,98.5,2.05,,,,
"2021-07-16","F PXE HU BL M12-21","F9BM Dec21","202112","2021-12-01","2021-12-31",744,,,,,94.68,2.10,,,,
"2021-07-16","F PXE HU BL Q01-22","F9BQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,91.11,1.30,,,21590,
"2021-07-16","F PXE HU BL Q01-23","F9BQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL Q02-22","F9BQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,68.29,0.50,,,,
"2021-07-16","F PXE HU BL Q02-23","F9BQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL Q03-22","F9BQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,72.44,0.35,,,,
"2021-07-16","F PXE HU BL Q04-21","F9BQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,95.9,2.22,,,159048,
"2021-07-16","F PXE HU BL Q04-22","F9BQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE HU PL CAL-22","F9PY 2022","202212","2022-01-03","2022-12-30",3120,,,,,88.77,0.51,,,,
"2021-07-16","F PXE HU PL CAL-23","F9PY 2023","202312","2023-01-02","2023-12-29",3120,,,,,79.11,0.20,,,,
"2021-07-16","F PXE HU PL CAL-24","F9PY 2024","202412","2024-01-01","2024-12-31",3144,,,,,76.4,-0.03,,,,
"2021-07-16","F PXE HU PL CAL-25","F9PY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE HU PL CAL-26","F9PY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE HU PL CAL-27","F9PY 2027","202712","2027-01-01","2027-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE HU PL M01-22","F9PM Jan22","202201","2022-01-03","2022-01-31",252,,,,,116.5,0.41,,,,
"2021-07-16","F PXE HU PL M07-21","F9PM Jul21","202107","2021-07-01","2021-07-30",264,,,,,103.65,-0.23,,,,
"2021-07-16","F PXE HU PL M08-21","F9PM Aug21","202108","2021-08-02","2021-08-31",264,,,,,105.39,0.58,,,,
"2021-07-16","F PXE HU PL M09-21","F9PM Sep21","202109","2021-09-01","2021-09-30",264,,,,,107.53,0.97,,,,
"2021-07-16","F PXE HU PL M10-21","F9PM Oct21","202110","2021-10-01","2021-10-29",252,,,,,104.34,0.37,,,,
"2021-07-16","F PXE HU PL M11-21","F9PM Nov21","202111","2021-11-01","2021-11-30",264,,,,,118.64,0.95,,,,
"2021-07-16","F PXE HU PL M12-21","F9PM Dec21","202112","2021-12-01","2021-12-31",276,,,,,115.31,0.97,,,,
"2021-07-16","F PXE HU PL Q01-22","F9PQ Q122","202203","2022-01-03","2022-03-31",768,,,,,109.52,0.41,,,,
"2021-07-16","F PXE HU PL Q01-23","F9PQ Q123","202303","2023-01-02","2023-03-31",780,,,,,,0.00,,,,
"2021-07-16","F PXE HU PL Q02-22","F9PQ Q222","202206","2022-04-01","2022-06-30",780,,,,,76.33,0.08,,,,
"2021-07-16","F PXE HU PL Q02-23","F9PQ Q223","202306","2023-04-03","2023-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE HU PL Q03-22","F9PQ Q322","202209","2022-07-01","2022-09-30",792,,,,,81.07,0.58,,,,
"2021-07-16","F PXE HU PL Q04-21","F9PQ Q421","202112","2021-10-01","2021-12-31",792,,,,,112.93,0.79,,,,
"2021-07-16","F PXE HU PL Q04-22","F9PQ Q422","202212","2022-10-03","2022-12-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL CAL-22","FPBY 2022","202212","2022-01-01","2022-12-31",8760,,,,,76.25,0.30,,,,
"2021-07-16","F PXE PL BL CAL-23","FPBY 2023","202312","2023-01-01","2023-12-31",8760,,,,,76,0.50,,,,
"2021-07-16","F PXE PL BL CAL-24","FPBY 2024","202412","2024-01-01","2024-12-31",8784,,,,,73.16,-1.10,,,,
"2021-07-16","F PXE PL BL CAL-25","FPBY 2025","202512","2025-01-01","2025-12-31",8760,,,,,73.4,-0.07,,,,
"2021-07-16","F PXE PL BL CAL-26","FPBY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL CAL-27","FPBY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL M01-22","FPBM Jan22","202201","2022-01-01","2022-01-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL M07-21","FPBM Jul21","202107","2021-07-01","2021-07-31",744,,,,,84.31,-0.24,,,,
"2021-07-16","F PXE PL BL M08-21","FPBM Aug21","202108","2021-08-01","2021-08-31",744,,,,,79.42,0.47,,,,
"2021-07-16","F PXE PL BL M09-21","FPBM Sep21","202109","2021-09-01","2021-09-30",720,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL M10-21","FPBM Oct21","202110","2021-10-01","2021-10-31",745,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL M11-21","FPBM Nov21","202111","2021-11-01","2021-11-30",720,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL M12-21","FPBM Dec21","202112","2021-12-01","2021-12-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL Q01-22","FPBQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL Q01-23","FPBQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL Q02-22","FPBQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL Q02-23","FPBQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL Q03-22","FPBQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,,0.00,,,,
"2021-07-16","F PXE PL BL Q04-21","FPBQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,77.35,0.40,,,,
"2021-07-16","F PXE PL BL Q04-22","FPBQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL CAL-22","FPPY 2022","202212","2022-01-03","2022-12-30",3120,,,,,85.89,0.67,,,,
"2021-07-16","F PXE PL PL CAL-23","FPPY 2023","202312","2023-01-02","2023-12-29",3120,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL CAL-24","FPPY 2024","202412","2024-01-01","2024-12-31",3144,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL CAL-25","FPPY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL CAL-26","FPPY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL CAL-27","FPPY 2027","202712","2027-01-01","2027-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL M01-22","FPPM Jan22","202201","2022-01-03","2022-01-31",252,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL M07-21","FPPM Jul21","202107","2021-07-01","2021-07-30",264,,,,,90.87,0.00,,,,
"2021-07-16","F PXE PL PL M08-21","FPPM Aug21","202108","2021-08-02","2021-08-31",264,,,,,87.25,0.83,,,,
"2021-07-16","F PXE PL PL M09-21","FPPM Sep21","202109","2021-09-01","2021-09-30",264,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL M10-21","FPPM Oct21","202110","2021-10-01","2021-10-29",252,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL M11-21","FPPM Nov21","202111","2021-11-01","2021-11-30",264,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL M12-21","FPPM Dec21","202112","2021-12-01","2021-12-31",276,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL Q01-22","FPPQ Q122","202203","2022-01-03","2022-03-31",768,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL Q01-23","FPPQ Q123","202303","2023-01-02","2023-03-31",780,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL Q02-22","FPPQ Q222","202206","2022-04-01","2022-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL Q02-23","FPPQ Q223","202306","2023-04-03","2023-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL Q03-22","FPPQ Q322","202209","2022-07-01","2022-09-30",792,,,,,,0.00,,,,
"2021-07-16","F PXE PL PL Q04-21","FPPQ Q421","202112","2021-10-01","2021-12-31",792,,,,,92.07,1.12,,,,
"2021-07-16","F PXE PL PL Q04-22","FPPQ Q422","202212","2022-10-03","2022-12-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL CAL-22","FHBY 2022","202212","2022-01-01","2022-12-31",8760,,,,,76.25,0.59,,,,
"2021-07-16","F PXE RO BL CAL-23","FHBY 2023","202312","2023-01-01","2023-12-31",8760,,,,,66.11,0.39,,,,
"2021-07-16","F PXE RO BL CAL-24","FHBY 2024","202412","2024-01-01","2024-12-31",8784,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL CAL-25","FHBY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL CAL-26","FHBY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL CAL-27","FHBY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL M01-22","FHBM Jan22","202201","2022-01-01","2022-01-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL M07-21","FHBM Jul21","202107","2021-07-01","2021-07-31",744,,,,,92.52,0.00,,,,
"2021-07-16","F PXE RO BL M08-21","FHBM Aug21","202108","2021-08-01","2021-08-31",744,,,,,93.53,0.82,,,3720,
"2021-07-16","F PXE RO BL M09-21","FHBM Sep21","202109","2021-09-01","2021-09-30",720,,,,,95.27,1.08,,,,
"2021-07-16","F PXE RO BL M10-21","FHBM Oct21","202110","2021-10-01","2021-10-31",745,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL M11-21","FHBM Nov21","202111","2021-11-01","2021-11-30",720,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL M12-21","FHBM Dec21","202112","2021-12-01","2021-12-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL Q01-22","FHBQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,90.86,1.30,,,,
"2021-07-16","F PXE RO BL Q01-23","FHBQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL Q02-22","FHBQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,68.29,0.50,,,,
"2021-07-16","F PXE RO BL Q02-23","FHBQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL Q03-22","FHBQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,,0.00,,,,
"2021-07-16","F PXE RO BL Q04-21","FHBQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,96.1,2.21,,,,
"2021-07-16","F PXE RO BL Q04-22","FHBQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE RO PL CAL-22","FRPY 2022","202212","2022-01-03","2022-12-30",3120,,,,,88.42,0.51,,,,
