sizehatch,typ_rear,incubat,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 
1001-10000,SHEN,CAP,TR	: c	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,CAP,UK	: 	: 	0.00 	: 	0.00 	0.00 	0.00 	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0 n	0 	0 	0 	0 	0.6 	0.6 	0.4 	0.2 	45 	38 	51 	36 	138 	138 	0 e	0 e	0 e	0 e	33 	24 	47 	50 	25 	84 	119 	123 	100 	119 	140 	165 
1001-10000,SHEN,HAT,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	2 	2 	2 	1 	1 	1 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,BA	3.00 	3.00 	2.00 	2.00 	2.00 	3.00 	3.00 	2.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	1.00 	: 	1.00 	0.00 	0 n	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	4 	4 
1001-10000,SHEN,HAT,BG	: c	0.00 	: c	1.00 	4.00 	3.00 	5.00 	5.00 	5.00 	0.00 	6.00 	7.00 	5.00 	48.00 	12.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,CY	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,CZ	4.00 	4.00 	3.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	3.00 	2.00 	1.00 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,DE	3.00 	3.00 	: 	: 	: 	: c	: c	: c	: c	: c	4.00 	: c	: c	5.00 	6.00 	7.00 	8.00 	11 	12 	16 	16 	15 	17 	20 	22 	26 	27 	33 	42 	: b	43 	50 	58 	59 	64 	63 	66 	71 	82 	100 	116 	129 	146 	176 	204 	207 	270 	290 
1001-10000,SHEN,HAT,DK	: c	: c	: c	: c	: c	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	2 	3 	6 	5 	6 	4 	5 	5 	6 	6 	8 	9 	9 	10 	14 	12 	14 	17 	20 	26 	33 
1001-10000,SHEN,HAT,EE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,EL	: 	: 	: c	: 	: c	: c	: c	: c	0.00 	0.00 p	: c	: 	: 	: 	: 	: 	0.00 	0 n	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,ES	0.00 p	0.00 p	0.00 p	0.00 p	0.00 	0.00 p	0.00 p	0.00 p	0.00 p	0.00 p	0.00 	0.00 p	0.00 p	0.00 	0.00 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	8 	0 	0 	0 	0 	0 	1 	0 	8 	4 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,FI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,FR	: 	0.00 p	0.00 p	0.00 p	0.00 p	0.00 p	0.00 p	: c	: c	: c	: c	: c	: c	3.00 	: c	3.00 	4.00 	5 	: 	7 	7 	9 	9 	10 	10 	12 	14 	18 	17 	21 	28 	35 	41 	46 	48 	51 	55 	64 	69 	76 	96 	103 	113 	129 	140 	168 	188 	210 
1001-10000,SHEN,HAT,HR	3.00 	4.00 	4.00 	4.00 	4.00 	4.00 	4.00 	8.00 	7.00 	: 	: 	6.00 	4.00 	7.00 	7.00 	7.00 	7.00 	7 	7 	7 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,HU	6.00 	9.00 	8.00 	6.00 	6.00 	7.00 	7.00 	33.00 	13.00 	16.00 	19.00 	17.00 	25.00 	32.00 	29.00 	33.00 	35.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	1 	1 	1 	2 	3 	3 	1 	3 	4 	4 	4 	5 	9 	8 	10 	4 	10 	10 
1001-10000,SHEN,HAT,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,IT	: 	: 	: 	0.00 	3.00 	0.00 	0.00 	0.00 	1.00 	0.00 	: 	0.00 	0.00 	5.00 	5.00 	: 	5.00 	5 	5 	4 	2 	: 	2 	3 	3 	3 	3 	4 	5 	6 	7 	2 	3 	3 	3 	8 	4 	6 	9 	9 	11 	11 	12 	16 	20 	22 	37 	43 
1001-10000,SHEN,HAT,LT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	2 	2 
1001-10000,SHEN,HAT,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,MT	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,NL	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	1.00 	0.00 	1.00 	1.00 	: 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 
1001-10000,SHEN,HAT,PL	: c	: c	: c	: c	: c	: c	3.00 	3.00 	5.00 	4.00 	3.00 	5.00 	3.00 	6.00 	5.00 	6.00 	7.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	3 	0 	0 	0 	0 e	2 	2 	2 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,RO	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: c	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,SI	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,SK	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	: c	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,TR	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,HAT,UK	: 	: 	0.00 	: 	0.00 	0.00 	0.00 	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0 n	0 	0 	0 	0 	1 	1 	1 	1 	5 	7 	8 	6 	12 	12 	0 e	0 e	0 e	0 e	5 	4 	7 	7 	4 	13 	19 	19 	18 	21 	23 	26 
1001-10000,SHEN,INC,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	41 	67 	21 	17.2 	18.4 	16.6 	33.8 	49.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,BA	51.00 	90.00 	118.00 	139.00 	138.00 	172.00 	229.00 	103.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	141.00 	0.00 	0 n	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	12 	28 	92 	53 
1001-10000,SHEN,INC,BG	: c	0.00 	: c	10.00 	: c	13.00 	19.60 	30.08 	24.60 	0.00 	32.80 	136.00 	: 	92792.40 	56.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,CY	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,CZ	: c	: c	136.24 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	49.96 	: c	: c	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,DE	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.20 	237.00 	196.7 	217.7 	: 	: 	: 	: 	: c	514.9 	458.8 	497.8 	590.7 	708.5 	: b	650.8 	816 	905.1 	833.2 	928.7 	939.1 	1364.4 	1262 	1360.7 	1199.6 	1342.3 	1623 	2019.8 	2349 	2501.6 	2921.1 	3252 	3459 
1001-10000,SHEN,INC,DK	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	62 	43 	63 	89 	68 	99 	50 	35 	32 	65 	73 	112 	145 	160 	173 	208 	328 	266 	315 	383 	535 	662 
1001-10000,SHEN,INC,EE	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,EL	0.00 	0.00 	: c	0.00 	: c	: c	: 	: 	0.00 	0.00 p	: c	: 	: 	: 	: 	: 	0.00 	0 n	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,ES	0.00 p	0.00 p	0.00 p	0.00 p	0.00 	0.00 p	0.00 p	0.00 p	0.00 p	0.00 p	0.00 	0.00 p	0.00 p	0.00 	0.00 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	43121 	0 	0 	0 	0 	0 	14 	0 	13456 	22 e	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,FI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,FR	: 	0.00 p	0.00 p	0.00 p	0.00 p	0.00 p	0.00 p	: c	0.00 	: c	: c	: 	: 	: c	: c	1452.20 	: 	: 	: 	: 	: 	: 	211 	250 	263 	318 	344.2 	426.1 	410.2 	2147.8 	701.4 	10616 	982 	1160 	1028 	1023 	1026 	1220 	1247 	1465 	1757 	2182 	2786 	2722 	3268 	3808 	4227 	5267 
1001-10000,SHEN,INC,HR	0.00 n	0.00 n	0.00 n	0.00 n	328.00 	370.00 	163.00 	538.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,HU	: c	103.53 	64.06 	91.71 	84.27 	: c	102.74 	: c	: c	162.10 	218.10 	: 	: 	419.20 	347.00 	492.30 	442.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,IE	: 	: 	: 	: 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	9.1 	7.6 	18.6 	159.3 	136.8 	33.9 	20.6 	18 	52.8 	54.4 	54.2 	67.6 	105.5 	75.1 	77 	51 	72 	91 
1001-10000,SHEN,INC,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,IT	0.00 	0.00 	0.00 	0.00 	41268.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.00 	25 	20 	12 	30 	: 	10 	12 	6 	9 	8 	10 	10 	0 	0 	22 	37.2 	34 	219 	570.6 	82 	139 	211.2 	180.9 	197.8 	233.9 	347.5 	380.9 	549.3 	487.7 	1457 	1513.8 
1001-10000,SHEN,INC,LT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20.5 	18.2 	21 	26.4 	20.3 	25.6 
1001-10000,SHEN,INC,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,MT	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	0.00 	: 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,NL	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	10.00 	0.00 	5.00 	2.00 	: 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	25 	30 
1001-10000,SHEN,INC,PL	: c	87.94 	36.34 	81.93 	82.21 	: c	119.27 	127.96 	230.50 	167.10 	165.80 	189.40 	105.30 	179005.00 	285400.00 	357014.00 	2201393.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.2 	25.9 	41 	0 	0 	0 	0 e	180.9 	187.2 	4564.8 	2227.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,RO	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0 n	0 	0 	0 	0 	0 	0 	0 	59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,SI	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,SK	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	: c	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,TR	: c	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,INC,UK	: 	: 	0.00 	: 	0.00 	0.00 	: 	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0 n	0 	0 	0 	0 	600 	600 	350 	150 	305 	148 	200 	178 	260 	252 e	0 e	0 e	0 e	0 e	36 	21 	54 	67 	42 	145 	246 	306 	314 	388 	266 	: 
1001-10000,SHEN,LAY,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	33 	32 	4 	17.2 	18.4 	16.6 	33.8 	38.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,LAY,BA	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	95.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,LAY,BE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	0.00 	0.00 	0 n	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	12 	2 	12 	27 
1001-10000,SHEN,LAY,BG	0.00 	0.00 	0.00 	0.00 	: c	6.00 	0.00 	0.00 	2.50 	0.00 	0.00 	0.00 	: 	10096.90 	10.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,LAY,CY	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,LAY,CZ	40.70 	37.45 	136.24 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	49.96 	: c	: c	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
1001-10000,SHEN,LAY,DE	: c	: c	: 	: 	: 	: c	: c	: c	: 	: 	: 	: c	: c	: c	: 	47.20 	174.00 	130.6 	146.7 	216.3 	228.1 	248.5 	343.9 	396.7 	412.5 	350.7 	378 	459.8 	589 	: b	525.4 	685.2 	733 	666.5 	778 	790 	968 	861 	1037.1 	1075 	1248.2 	1515.5 	1878.9 	2187.1 	2286.3 	2612.4 	3003 	3066 
