Data Source in SDW: https://odslwebdev.z6.web.core.windows.net/
,EST.B.EU000A2QQF08.CI,EST.B.EU000A2QQF16.CR,EST.B.EU000A2QQF24.CR,EST.B.EU000A2QQF32.CR,EST.B.EU000A2QQF40.CR,EST.B.EU000A2QQF57.CR,EST.B.EU000A2X2A25.CM,EST.B.EU000A2X2A25.NB,EST.B.EU000A2X2A25.NT,EST.B.EU000A2X2A25.R25,EST.B.EU000A2X2A25.R75,EST.B.EU000A2X2A25.RP,EST.B.EU000A2X2A25.TT,EST.B.EU000A2X2A25.VL,EST.B.EU000A2X2A25.WT
,"Compounded Euro Short-Term Rate Index, Index of compounded interest","Euro Short-Term Rate - 1-week Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 1-month Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 3-months Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 6-months Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 12-months Compounded Average Rate, Compounded average rate","Euro short-term rate, Calculation method","Euro short-term rate, Number of active banks","Euro short-term rate, Number of transactions","Euro short-term rate, Rate at 25th percentile of volume","Euro short-term rate, Rate at 75th percentile of volume","Euro short-term rate, Publication type","Euro short-term rate, Total volume","Euro short-term rate, Share of volume of the 5 largest active banks","Euro short-term rate, Volume-weighted trimmed mean rate"
Collection:,Unknown (U),Unknown (U),Unknown (U),Unknown (U),Unknown (U),Unknown (U),Other (V),Summed through period (S),Summed through period (S),Other (V),Other (V),Other (V),Summed through period (S),Other (V),Average of observations through period (A)
Period\Unit:,,,,,,,[Not applicable ],[Not applicable ],[Not applicable ],[Percent ],[Percent ],[Not applicable ],[Millions of Euro],[Percent ],[Percent ]
2020-05-25,99.64550234,-0.54155,-0.53995,-0.53665,-0.53710,,0,27,412,-0.55,-0.53,0,41311,53,-0.540
2020-05-22,99.64997829,-0.54326,-0.53999,-0.53668,-0.53705,,0,27,431,-0.55,-0.52,0,39461,54,-0.539
2020-05-21,99.65148690,-0.54269,-0.53985,-0.53659,-0.53704,,0,24,384,-0.56,-0.53,0,34454,58,-0.545
2020-05-20,99.65299554,-0.54226,-0.53972,-0.53651,-0.53685,,0,28,439,-0.56,-0.53,0,32084,55,-0.545
2020-05-19,99.65449589,-0.54241,-0.53947,-0.53647,-0.53685,,0,29,542,-0.56,-0.52,0,44659,54,-0.542
2020-05-18,99.65599627,-0.54269,-0.53940,-0.53640,-0.53684,,0,30,563,-0.56,-0.52,0,46151,53,-0.542
2020-05-15,99.66050591,-0.54184,-0.53872,-0.53628,-0.53681,,0,31,556,-0.56,-0.53,0,44086,53,-0.543
2020-05-14,99.66200360,-0.54184,-0.53849,-0.53624,-0.53678,,0,31,540,-0.56,-0.52,0,45901,51,-0.541
2020-05-13,99.66350409,-0.54184,-0.53799,-0.53622,-0.53672,,0,32,547,-0.56,-0.53,0,47498,53,-0.542
2020-05-12,99.66500737,-0.54126,-0.53785,-0.53619,-0.53669,,0,30,556,-0.56,-0.53,0,47105,52,-0.543
2020-05-11,99.66651345,-0.54112,-0.53766,-0.53616,-0.53667,,0,31,535,-0.56,-0.53,0,48914,53,-0.544
2020-05-08,99.67100695,-0.53610,-0.53726,-0.53603,-0.53666,,0,32,461,-0.55,-0.52,0,35476,53,-0.541
2020-05-07,99.67250480,-0.53541,-0.53699,-0.53598,-0.53664,,0,30,409,-0.55,-0.52,0,32961,56,-0.541
2020-05-06,99.67400545,-0.53555,-0.53669,-0.53590,-0.53662,,0,32,554,-0.55,-0.52,0,49616,50,-0.542
2020-05-05,99.67549782,-0.53584,-0.53682,-0.53587,-0.53663,,0,33,562,-0.55,-0.51,0,53443,47,-0.539
2020-05-04,99.67700128,-0.53527,-0.53663,-0.53579,-0.53659,,0,30,550,-0.55,-0.53,0,48133,49,-0.543
2020-04-30,99.68288257,-0.53984,-0.53621,-0.53615,-0.53699,,0,27,466,-0.55,-0.50,0,39756,57,-0.531
2020-04-29,99.68438614,-0.53926,-0.53542,-0.53612,-0.53700,,0,32,547,-0.55,-0.53,0,46325,52,-0.543
2020-04-28,99.68588420,-0.53926,-0.53526,-0.53606,-0.53704,,0,32,572,-0.55,-0.52,0,46757,50,-0.541
2020-04-27,99.68737674,-0.53955,-0.53514,-0.53605,-0.53719,,0,31,585,-0.55,-0.52,0,49146,52,-0.539
2020-04-24,99.69185456,-0.53912,-0.53405,-0.53599,-0.53723,,0,32,565,-0.55,-0.52,0,47254,50,-0.539
2020-04-23,99.69334720,-0.53841,-0.53360,-0.53596,-0.53728,,0,31,571,-0.55,-0.52,0,47408,52,-0.539
2020-04-22,99.69483985,-0.53784,-0.53255,-0.53593,-0.53733,,0,30,581,-0.55,-0.52,0,48712,53,-0.539
2020-04-21,99.69633806,-0.53684,-0.53229,-0.53586,-0.53737,,0,35,587,-0.55,-0.52,0,49960,50,-0.541
2020-04-20,99.69783630,-0.53606,-0.53202,-0.53583,-0.53749,,0,33,561,-0.55,-0.52,0,50826,51,-0.541
2020-04-17,99.70230629,-0.53536,-0.53111,-0.53580,-0.53756,,0,32,552,-0.55,-0.52,0,54008,53,-0.538
2020-04-16,99.70378523,-0.53556,-0.53118,-0.53582,-0.53763,,0,33,579,-0.55,-0.52,0,55636,55,-0.534
2020-04-15,99.70526696,-0.53556,-0.53194,-0.53585,-0.53772,,0,33,605,-0.55,-0.52,0,57086,51,-0.535
2020-04-14,99.70674594,-0.53542,-0.53188,-0.53590,-0.53780,,0,33,619,-0.55,-0.52,0,58074,53,-0.534
2020-04-09,99.71416911,-0.53598,-0.53237,-0.53601,-0.53820,,0,34,622,-0.55,-0.52,0,55456,52,-0.536
2020-04-08,99.71565099,-0.53484,-0.53306,-0.53602,-0.53830,,0,34,621,-0.55,-0.52,0,56559,49,-0.535
2020-04-07,99.71712736,-0.53327,-0.53307,-0.53609,-0.53841,,0,32,627,-0.55,-0.51,0,58379,51,-0.533
2020-04-06,99.71860375,-0.53255,-0.53308,-0.53616,-0.53866,,0,33,629,-0.55,-0.52,0,59270,50,-0.533
2020-04-03,99.72308298,-0.52869,-0.53327,-0.53609,-0.53876,,0,29,542,-0.55,-0.50,0,45912,53,-0.539
2020-04-02,99.72456222,-0.52798,-0.53353,-0.53615,-0.53885,,0,32,598,-0.55,-0.51,0,52948,53,-0.534
2020-04-01,99.72602210,-0.52798,-0.53376,-0.53626,-0.53897,,0,33,594,-0.55,-0.50,0,53453,55,-0.527
2020-03-31,99.72746815,-0.52869,-0.53469,-0.53629,,,0,31,544,-0.56,-0.49,0,49020,59,-0.522
2020-03-30,99.72893084,-0.52827,-0.53492,-0.53643,,,0,32,562,-0.55,-0.50,0,51283,51,-0.528
2020-03-27,99.73333573,-0.52569,-0.53555,-0.53683,,,0,32,448,-0.55,-0.50,0,41609,57,-0.530
2020-03-26,99.73480128,-0.52527,-0.53589,-0.53729,,,0,32,556,-0.55,-0.50,0,44398,54,-0.529
2020-03-25,99.73626131,-0.52555,-0.53631,-0.53741,,,0,29,544,-0.55,-0.49,0,45443,53,-0.527
2020-03-24,99.73772136,-0.52612,-0.53675,-0.53753,,,0,29,563,-0.55,-0.49,0,44586,53,-0.527
2020-03-23,99.73917589,-0.52769,-0.53734,-0.53775,,,0,31,538,-0.55,-0.49,0,42983,55,-0.525
2020-03-20,99.74353135,-0.53498,-0.53875,-0.53828,,,0,31,524,-0.55,-0.49,0,38819,53,-0.524
2020-03-19,99.74498874,-0.53698,-0.53917,-0.53843,,,0,30,515,-0.55,-0.49,0,40550,51,-0.526
2020-03-18,99.74645446,-0.53898,-0.53941,-0.53855,,,0,30,525,-0.55,-0.50,0,41457,52,-0.529
2020-03-17,99.74792574,-0.54041,-0.53975,-0.53861,,,0,31,496,-0.55,-0.50,0,44130,55,-0.531
2020-03-16,99.74941090,-0.54084,-0.53969,-0.53868,,,0,30,495,-0.55,-0.52,0,39369,60,-0.536
2020-03-13,99.75390814,-0.54084,-0.53958,-0.53875,,,0,30,477,-0.55,-0.53,0,44382,59,-0.541
2020-03-12,99.75540447,-0.54084,-0.53961,-0.53879,,,0,28,515,-0.55,-0.53,0,48041,59,-0.540
2020-03-11,99.75690913,-0.54055,-0.53955,-0.53881,,,0,31,524,-0.55,-0.53,0,48537,58,-0.543
2020-03-10,99.75840828,-0.54069,-0.53941,-0.53884,,,0,29,499,-0.55,-0.53,0,45152,57,-0.541
2020-03-09,99.75990191,-0.54112,-0.53917,-0.53886,,,0,29,500,-0.55,-0.52,0,40232,57,-0.539
2020-03-06,99.76439962,-0.54069,-0.53886,-0.53886,,,0,29,494,-0.55,-0.52,0,38242,59,-0.541
2020-03-05,99.76589611,-0.54041,-0.53872,-0.53886,,,0,29,484,-0.55,-0.52,0,36928,60,-0.540
2020-03-04,99.76739539,-0.54012,-0.53855,-0.53885,,,0,30,492,-0.55,-0.53,0,40672,57,-0.541
2020-03-03,99.76889747,-0.53969,-0.53837,-0.53882,,,0,28,356,-0.55,-0.53,0,35167,60,-0.542
2020-03-02,99.77039957,-0.53941,-0.53825,-0.53881,,,0,26,330,-0.55,-0.53,0,30645,61,-0.542
2020-02-28,99.77488944,-0.53898,-0.53814,-0.53845,,,0,30,434,-0.55,-0.52,0,33073,58,-0.540
2020-02-27,99.77638054,-0.53898,-0.53814,-0.53840,,,0,27,425,-0.55,-0.52,0,31087,54,-0.538
2020-02-26,99.77787443,-0.53884,-0.53800,-0.53833,,,0,27,414,-0.55,-0.52,0,34286,56,-0.539
2020-02-25,99.77936835,-0.53841,-0.53797,-0.53827,,,0,29,433,-0.55,-0.52,0,33258,55,-0.539
2020-02-24,99.78086507,-0.53855,-0.53792,-0.53816,,,0,27,433,-0.55,-0.52,0,34684,55,-0.540
2020-02-21,99.78534709,-0.53812,-0.53762,-0.53819,,,0,28,442,-0.55,-0.52,0,35098,56,-0.539
2020-02-20,99.78683835,-0.53841,-0.53762,-0.53790,,,0,28,440,-0.55,-0.52,0,32691,53,-0.538
2020-02-19,99.78832963,-0.53884,-0.53754,-0.53794,,,0,29,411,-0.55,-0.52,0,32866,57,-0.538
2020-02-18,99.78981539,-0.53955,-0.53760,-0.53800,,,0,28,413,-0.55,-0.53,0,31880,58,-0.536
2020-02-17,99.79131503,-0.53898,-0.53750,-0.53804,,,0,29,432,-0.55,-0.53,0,35151,55,-0.541
2020-02-14,99.79578921,-0.53855,-0.53743,-0.53804,,,0,29,436,-0.55,-0.53,0,34136,59,-0.538
2020-02-13,99.79728617,-0.53784,-0.53733,-0.53794,,,0,28,426,-0.55,-0.53,0,31655,56,-0.540
2020-02-12,99.79878592,-0.53712,-0.53727,-0.53790,,,0,29,423,-0.55,-0.53,0,31753,55,-0.541
2020-02-11,99.80028570,-0.53641,-0.53716,-0.53790,,,0,29,423,-0.55,-0.53,0,32222,56,-0.541
2020-02-10,99.80177441,-0.53641,-0.53717,-0.53796,,,0,29,440,-0.55,-0.53,0,33678,57,-0.537
2020-02-07,99.80624074,-0.53727,-0.53730,-0.53800,,,0,29,423,-0.55,-0.53,0,32644,58,-0.537
2020-02-06,99.80772399,-0.53784,-0.53743,-0.53804,,,0,28,427,-0.55,-0.52,0,33619,60,-0.535
2020-02-05,99.80921004,-0.53841,-0.53742,-0.53809,,,0,30,436,-0.55,-0.53,0,35449,61,-0.536
2020-02-04,99.81069611,-0.53841,-0.53747,-0.53809,,,0,30,464,-0.55,-0.53,0,36167,59,-0.536
2020-02-03,99.81218498,-0.53855,-0.53750,-0.53844,,,0,28,456,-0.55,-0.53,0,38392,59,-0.537
2020-01-31,99.81666841,-0.53769,-0.53698,-0.53848,,,0,29,436,-0.55,-0.53,0,32163,58,-0.539
2020-01-30,99.81816291,-0.53741,-0.53704,-0.53855,,,0,27,428,-0.55,-0.52,0,32097,57,-0.539
2020-01-29,99.81966020,-0.53684,-0.53739,-0.53860,,,0,30,437,-0.55,-0.53,0,32714,57,-0.540
2020-01-28,99.82114643,-0.53669,-0.53744,-0.53873,,,0,33,432,-0.55,-0.50,0,37845,51,-0.536
2020-01-27,99.82263822,-0.53669,-0.53743,-0.53902,,,0,29,434,-0.55,-0.53,0,33033,59,-0.538
2020-01-24,99.82710549,-0.53669,-0.53859,-0.53920,,,0,30,428,-0.55,-0.53,0,33324,59,-0.537
2020-01-23,99.82859460,-0.53655,-0.53885,-0.53931,,,0,29,425,-0.55,-0.53,0,31463,58,-0.537
2020-01-22,99.83008095,-0.53684,-0.53903,-0.53944,,,0,29,422,-0.55,-0.52,0,30474,58,-0.536
2020-01-21,99.83156456,-0.53727,-0.53916,-0.53959,,,0,30,430,-0.55,-0.53,0,31033,59,-0.535
2020-01-20,99.83305651,-0.53712,-0.53921,-0.53983,,,0,29,439,-0.55,-0.53,0,33566,57,-0.538
2020-01-17,99.83752424,-0.53755,-0.53937,-0.54003,,,0,28,409,-0.55,-0.53,0,31817,60,-0.537
2020-01-16,99.83901073,-0.53798,-0.53959,-0.54016,,,0,30,441,-0.55,-0.53,0,29388,57,-0.536
2020-01-15,99.84050279,-0.53769,-0.53994,-0.54030,,,0,29,411,-0.55,-0.53,0,26023,61,-0.538
2020-01-14,99.84199488,-0.53798,-0.54000,-0.54042,,,0,32,445,-0.55,-0.53,0,28664,54,-0.538
2020-01-13,99.84348421,-0.53827,-0.54011,-0.54074,,,0,29,465,-0.55,-0.53,0,31245,52,-0.537
2020-01-10,99.84796073,-0.53784,-0.54069,-0.54097,,,0,31,455,-0.55,-0.52,0,31837,54,-0.538
2020-01-09,99.84945569,-0.53784,-0.54075,-0.54111,,,0,30,441,-0.55,-0.53,0,30913,53,-0.539
2020-01-08,99.85094236,-0.53635,-0.54090,-0.54129,,,0,31,437,-0.55,-0.52,0,35150,52,-0.536
2020-01-07,99.85244015,-0.53584,-0.54094,-0.54144,,,0,31,453,-0.55,-0.53,0,34235,53,-0.540
2020-01-06,99.85393519,-0.53612,-0.54101,-0.54182,,,0,28,417,-0.55,-0.53,0,32777,55,-0.539
2020-01-03,99.85840385,-0.53827,-0.54127,-0.54213,,,0,27,414,-0.55,-0.53,0,27706,58,-0.537
2020-01-02,99.85989897,-0.54175,-0.54133,-0.54226,,,0,26,398,-0.55,-0.53,0,26611,51,-0.539
2019-12-31,99.86284493,-0.54484,-0.54110,,,,0,20,192,-0.57,-0.50,0,17978,52,-0.531
2019-12-30,99.86434567,-0.54541,-0.54111,,,,0,26,380,-0.56,-0.52,0,27143,57,-0.541
2019-12-27,99.86885641,-0.54455,-0.54042,,,,0,32,419,-0.56,-0.53,0,27661,50,-0.542
2019-12-24,99.87342562,-0.54012,-0.53872,,,,0,26,297,-0.57,-0.53,0,21242,60,-0.549
2019-12-23,99.87493762,-0.53984,-0.53853,,,,0,29,346,-0.56,-0.53,0,21805,56,-0.545
2019-12-20,99.87943219,-0.54112,-0.53759,,,,0,33,437,-0.56,-0.52,0,28851,54,-0.540
2019-12-19,99.88093040,-0.54169,-0.53765,,,,0,32,442,-0.56,-0.52,0,28808,52,-0.540
2019-12-18,99.88242864,-0.54226,-0.53769,,,,0,29,431,-0.56,-0.52,0,29119,55,-0.540
2019-12-17,99.88391580,-0.54341,-0.53804,,,,0,32,452,-0.55,-0.50,0,35867,51,-0.536
2019-12-16,99.88542241,-0.54312,-0.53788,,,,0,30,448,-0.56,-0.52,0,33184,52,-0.543
2019-12-13,99.88994243,-0.54226,-0.53709,,,,0,30,432,-0.55,-0.52,0,31262,54,-0.543
2019-12-12,99.89145190,-0.54169,-0.53685,,,,0,30,429,-0.56,-0.53,0,31864,49,-0.544
2019-12-11,99.89296139,-0.54112,-0.53675,,,,0,30,436,-0.56,-0.52,0,32579,49,-0.544
2019-12-10,99.89447091,-0.54041,-0.53682,,,,0,31,417,-0.56,-0.52,0,30501,50,-0.544
2019-12-09,99.89597212,-0.54041,-0.53669,,,,0,28,445,-0.55,-0.52,0,29949,50,-0.541
2019-12-06,99.90047597,-0.53655,-0.53635,,,,0,28,420,-0.55,-0.52,0,28819,52,-0.541
2019-12-05,99.90197450,-0.53527,-0.53639,,,,0,31,459,-0.55,-0.52,0,32804,51,-0.540
2019-12-04,99.90347305,-0.53427,-0.53625,,,,0,30,452,-0.55,-0.52,0,32581,54,-0.540
2019-12-03,99.90496885,-0.53341,-0.53735,,,,0,30,455,-0.55,-0.50,0,31998,52,-0.539
2019-12-02,99.90647022,-0.53227,-0.53724,,,,0,30,438,-0.55,-0.52,0,32038,52,-0.541
2019-11-29,99.91089960,-0.53398,-0.53843,,,,0,28,406,-0.55,-0.50,0,31101,57,-0.532
2019-11-28,99.91237331,-0.53555,-0.53898,,,,0,28,437,-0.55,-0.50,0,31550,52,-0.531
2019-11-27,99.91385259,-0.53241,-0.53997,,,,0,29,445,-0.55,-0.50,0,31177,51,-0.533
2019-11-26,99.91533189,-0.53369,-0.54019,,,,0,29,445,-0.55,-0.50,0,32256,54,-0.533
2019-11-25,99.91681122,-0.53484,-0.54043,,,,0,26,338,-0.55,-0.50,0,30528,63,-0.533
2019-11-22,99.92127437,-0.53698,-0.54156,,,,0,30,435,-0.55,-0.50,0,31816,54,-0.536
2019-11-21,99.92277876,-0.53612,-0.54178,,,,0,31,450,-0.56,-0.51,0,32215,51,-0.542
2019-11-20,99.92419713,-0.53898,-0.54318,,,,0,30,463,-0.55,-0.47,0,39662,60,-0.511
2019-11-19,99.92570157,-0.53827,-0.54322,,,,0,32,453,-0.56,-0.52,0,33067,51,-0.542
2019-11-18,99.92720325,-0.53827,-0.54330,,,,0,31,449,-0.56,-0.52,0,33869,50,-0.541
2019-11-15,99.93170850,-0.53784,-0.54407,,,,0,31,439,-0.56,-0.51,0,31887,51,-0.541
2019-11-14,99.93319640,-0.53798,-0.54449,,,,0,31,425,-0.55,-0.51,0,30027,56,-0.536
2019-11-13,99.93467044,-0.53912,-0.54539,,,,0,20,286,-0.55,-0.50,0,23482,70,-0.531
2019-11-12,99.93616115,-0.53969,-0.54566,,,,0,30,444,-0.56,-0.50,0,30250,57,-0.537
2019-11-11,99.93766299,-0.53898,-0.54582,,,,0,29,429,-0.56,-0.50,0,30968,58,-0.541
2019-11-08,99.94216039,-0.54284,-0.54698,,,,0,28,421,-0.56,-0.52,0,29466,56,-0.540
2019-11-07,99.94365121,-0.54369,-0.54752,,,,0,31,463,-0.55,-0.52,0,31578,53,-0.537
2019-11-06,99.94514762,-0.54455,-0.54826,,,,0,29,445,-0.56,-0.52,0,31243,56,-0.539
2019-11-05,99.94664959,-0.54512,-0.54850,,,,0,30,463,-0.56,-0.52,0,32509,56,-0.541
2019-11-04,99.94813771,-0.54684,-0.54891,,,,0,28,463,-0.56,-0.50,0,36811,58,-0.536
2019-11-01,99.95271054,-0.54641,-0.54917,,,,0,26,374,-0.56,-0.53,0,28931,59,-0.549
2019-10-31,99.95421819,-0.54712,,,,,0,25,354,-0.56,-0.51,0,25342,57,-0.543
2019-10-30,99.95573141,-0.54741,,,,,0,29,422,-0.56,-0.53,0,28631,59,-0.545
2019-10-29,99.95724465,-0.54784,,,,,0,32,430,-0.56,-0.51,0,32763,49,-0.545
2019-10-28,99.95876624,-0.54798,,,,,0,29,416,-0.56,-0.53,0,32366,53,-0.548
2019-10-25,99.96333123,-0.54755,,,,,0,30,427,-0.56,-0.53,0,34093,48,-0.548
2019-10-24,99.96485292,-0.54755,,,,,0,29,429,-0.56,-0.53,0,33784,52,-0.548
2019-10-23,99.96637186,-0.54769,,,,,0,29,434,-0.56,-0.53,0,33724,53,-0.547
2019-10-22,99.96789359,-0.54812,,,,,0,30,427,-0.56,-0.53,0,31588,51,-0.548
2019-10-21,99.96941812,-0.54812,,,,,0,28,440,-0.56,-0.53,0,33283,53,-0.549
2019-10-18,99.97397527,-0.54941,,,,,0,29,421,-0.56,-0.53,0,31238,57,-0.547
2019-10-17,99.97549712,-0.54998,,,,,0,30,440,-0.56,-0.54,0,32639,58,-0.548
2019-10-16,99.97701899,-0.55055,,,,,0,30,451,-0.56,-0.54,0,32703,54,-0.548
2019-10-15,99.97854922,-0.55069,,,,,0,29,442,-0.57,-0.54,0,32332,52,-0.551
2019-10-14,99.98007391,-0.55141,,,,,0,31,424,-0.57,-0.53,0,31781,49,-0.549
2019-10-11,99.98465654,-0.55269,,,,,0,29,436,-0.57,-0.53,0,32614,51,-0.550
2019-10-10,99.98618967,-0.55312,,,,,0,30,415,-0.57,-0.54,0,30526,48,-0.552
2019-10-09,99.98772281,-0.55298,,,,,0,28,422,-0.57,-0.54,0,31274,52,-0.552
2019-10-08,99.98925598,-0.55255,,,,,0,29,425,-0.57,-0.54,0,31536,52,-0.552
2019-10-07,99.99079473,,,,,,0,30,416,-0.58,-0.54,0,33722,51,-0.554
2019-10-04,99.99540285,,,,,,0,30,429,-0.57,-0.54,0,33907,53,-0.553
2019-10-03,99.99694447,,,,,,0,28,373,-0.57,-0.54,0,29200,55,-0.555
2019-10-02,99.99847500,,,,,,0,28,397,-0.57,-0.54,0,33549,52,-0.551
2019-10-01,100.00000000,,,,,,0,32,432,-0.57,-0.53,0,35996,54,-0.549
