currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,01120000,BG	16.58 	15.58 	15.29 	16.33 	17.88 	17.15 	17.37 	21.66 	16.13 	12.32 	13.21 	18.37 	15.26 	9.75 	7.79 	12.50 	10.47 	8.48 	11.13 	10.59 
EUR,01120000,CY	25.03 	26.03 	21.82 	31.20 	24.80 	25.80 	24.40 	25.40 	26.60 	17.30 	24.5 	45 	15.38 	15.38 	17.09 	: 	: 	: 	: 	: 
EUR,01120000,DE	21.50 	21.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01120000,EL	20.24 	18.83 	19.43 	18.86 	23.93 	24.27 	21.96 	23.32 	21.94 	15.79 	17.31 	23.99 	23.38 	14.07 	13.80 	13.80 	14.01 	14.06 	14.59 	13.12 
EUR,01120000,ES	21.87 	19.10 	22.18 	22.28 	29.23 	28.12 	24.19 	26.70 	27.01 	17.69 	19.92 	29.33 	23.00 	13.87 	14.42 	14.21 	14.99 	14.95 	15.88 	12.59 
EUR,01120000,FR	: 	: 	: 	37.70 	49.40 	48.9 	40.73 	44.36 	32.76 	20.34 	16.68 	22.35 	28.88 	15.26 	13.38 	12.81 	14.74 	13.43 	13.76 	11.05 
EUR,01120000,HR	19.48 	21.01 	22.01 	14.39 	27.14 	18.48 	18.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01120000,HU	19.82 	18.83 	14.12 	16.75 	22.56 	20.85 	20.41 	27.12 	21.78 	18.91 	16.98 	24.81 	22.19 	11.54 	10.33 	12.31 	12.36 	11.64 	11.02 	10.76 
EUR,01120000,IT	23.52 	21.79 	21.78 	22.41 	30.04 	28.38 	26.14 	26.34 	27.12 	17.78 	19.92 	34.56 	26.27 	16.11 	14.08 	23.94 	17.55 	17.70 	17.77 	14.95 
EUR,01120000,PT	22.97 	21.81 	23.00 	23.50 	27.99 	23.00 	24.00 	28.00 	20.00 	16.90 	22.80 	26.51 	21.00 	12.60 	13.98 	13.93 	13.76 	12.94 	14.05 	12.09 
