currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,02400000,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.57 	55.62 	55.80 	55.65 	54.71 	52.82 
EUR,02400000,LT	: c	: c	27.00 	29.96 	30.41 	34.13 	37.31 	35.35 	33.91 	33.33 	37.33 	45.98 	33.72 	35.13 	48.39 	42.93 	44.86 	46.11 	38.75 	40.31 
EUR,02400000,LV	: 	: 	: 	: 	: 	: 	: 	: 	41.5 	44.42 	30.04 	32.87 	34.08 	31.79 	45.13 	45.04 	31.29 	33.63 	35.10 	37.30 
EUR,02400000,NL	34.76 	34.96 	42.81 	35.68 	38.26 	50.12 	61 	60 	45.00 	43.00 	40.00 	: 	36.90 	45.00 	45.45 	49.35 	48.40 	44.85 	55.20 	46.05 
EUR,02400000,PL	24.83 p	24.70 	22.46 	26.72 	28.56 	30.1 	35.44 	32.78 	34.95 	28.31 	26.73 	29.51 	28.61 	33.05 	43.57 	41.31 	28.22 	29.05 	30.29 	25.41 
EUR,02400000,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	46.99 	46.99 	46.99 	46.99 	46.99 	42.77 	49.52 	56.38 	56.38 	52.00 
EUR,02400000,RO	29.50 	27.93 	28.45 	28.95 	35.99 	36.01 	38.47 	38.12 	40.10 	28.49 	30.66 	29.91 	27.00 	25.53 	19.33 	20.88 	16.86 	22.48 	18.84 	21.28 
EUR,02400000,SE	29.80 	27.88 	26.43 	26.90 	26.45 	27.11 	26.58 	25.73 	26.69 	25.69 	25.90 	28.08 	29.86 	32.73 	45.73 	: 	: 	: 	: 	48.43 
EUR,02400000,SI	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.52 	39.09 	44.12 	35.07 	35.58 	31.01 	30.01 
EUR,02400000,SK	25.50 	25.70 	25.08 	27.70 	32.61 	37.07 	40.09 	36.7 	36.13 	36.37 	41.95 	30.07 	27.24 	29.54 	34.72 	37.23 	24.83 	23.19 	23.33 	23.00 
EUR,02400000,UK	31.81 	31.86 	30.00 	33.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02911000,BE	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02911000,BG	36.48 	34.78 	34.98 	37.28 	: 	: 	36.32 	51.13 	51.13 	32.38 	31.96 	32.87 	30.57 	30.60 	30.26 	30.99 	31.25 	31.34 	31.46 	31.50 
EUR,02911000,EL	43.49 	49.47 	51.26 	50.17 	42.84 	40.96 	50.29 	42.15 	53.86 	61.70 	30.22 	25.33 	41.14 	32.01 	87.57 	88.68 	101.86 	82.93 	73.51 	85.31 
EUR,02911000,ES	43.27 	47.43 	50.05 	47.95 	50.17 	30.77 	41.84 	39.48 	54.18 	46.31 	22.00 	26.73 	32.73 	21.92 	7.07 	22.91 	40.70 	51.53 	18.00 	28.42 
EUR,02911000,HU	: 	: 	: 	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02920000,AT	799.00 	799.00 	782.00 	779.00 	662.00 	624 	625 	626 	673.00 	728.00 	671.00 	688.00 	487.00 	441.00 	442.00 	412.47 	457.38 	441.67 	455.15 	473.39 
EUR,02920000,BE	573.75 	573.75 	504.41 	483.84 	460.80 	438.86 	417.96 	417.46 	416.96 	356.62 	356.62 	339.64 	298.91 	298.91 	298.91 	298.91 	298.91 	: 	338.82 	441.85 
EUR,02920000,BG	524.08 	683.86 	725.02 	1012.55 	406.48 	383.99 	258.72 	275.59 	285.31 	354.84 	466.82 	437.16 	420.29 	257.18 	241.27 	345.84 	487.43 	598.54 	884.33 	: 
EUR,02920000,CZ	895.99 	876.52 	831.88 	774.54 	698.05 	614.54 	584.99 	547.97 	526.91 	756.31 	819.39 	870.64 	538.51 	417.95 	454.18 	412.68 	347.26 	410.58 	390.42 	368.99 
EUR,02920000,DE	556.00 	545.00 	545.20 	520.36 	545.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02920000,ES	: 	482.60 	440.00 	400.20 	400.00 	410.00 	381 	350.00 	374.00 	491.00 	471.00 	494.00 	336.00 	310.00 	303.92 	536.28 	536.28 	281.00 	322.31 	299.30 
EUR,02920000,FR	: 	: 	: 	285.40 	316.10 	316.1 	354.11 	306.37 	15.19 	16.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02920000,PL	440.16 p	462.42 	468.79 	424.42 	347.35 	308.96 	270.49 	279.4 	271.82 	197.47 	254.10 	662.51 	1264.98 	280.34 	228.16 	256.22 	268.92 	268.91 	297.03 	296.14 
EUR,02920000,PT	420.00 	420.00 	400.00 	430.00 	430.00 	440.00 	420.00 	500.00 	500.00 	500.00 	500.00 	500.00 	400.00 	300.00 	300.00 	250.00 	300.00 	320.00 	299.28 	199.52 
EUR,02920000,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	407.87 	373.11 	309.17 	310.77 
EUR,02920000,SI	753.66 	685.07 	620.41 	660.86 	562.30 	462.28 	338.48 	324.32 	259.95 	337.73 	531.04 	1324.05 	874.61 	388.62 	328.63 	290.27 	281.28 	320.06 	321.16 	315.03 
EUR,02920000,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	526.07 	377.29 	325.70 	357.00 	346.83 	312.42 	304.16 	303.83 	282.10 
EUR,02920000,UK	: 	: 	: 	: 	: 	397.21 	377.03 	394.88 	368.95 	373.26 	359.40 	402.12 	467.90 	469.69 	472.07 	394.75 	448.56 	450.36 	567.96 	633.49 
EUR,02991000,BE	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02991000,BG	45.28 	66.22 	86.57 	73.93 	71.63 	76.96 	58.77 	48.2 	58.54 	55.86 	50.28 	41.48 	33.90 	35.12 	35.24 	34.60 	34.98 	37.85 	39.94 	52.38 
EUR,02991000,CY	132.60 	155.64 	156.04 	160.00 	133.00 	142.90 	136.80 	136.10 	116.30 	115.90 	104 	103.2 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02991000,EL	160.66 	153.02 	134.55 	148.46 	150.01 	153.83 	147.88 	150.4 	174.02 	121.51 	152.02 	169.78 	168.62 	150.85 	137.89 	129.68 	118.87 	111.21 	100.43 	100.24 
EUR,02991000,ES	68.36 	60.75 	68.41 	65.54 	59.55 	42.77 	55 	79.49 	76.19 	71.79 	60.79 	57.90 	60.85 	57.03 	47.01 	41.96 	48.52 	42.77 	44.97 	46.46 
EUR,02991000,FR	: 	: 	: 	67.90 	75.20 	77.9 	73.4 	65 	14.00 	14.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02991000,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	87.63 	76.90 	78.75 	57.21 	55.71 	45.63 	64.18 	77.11 	77.04 	55.26 	53.69 
EUR,02991000,SK	71.95 	73.53 	68.51 	65.60 	63.61 	57.37 	59.62 	69.05 	65.92 	60.77 	57.89 	48.40 	37.28 	33.79 	37.00 	38.65 	48.25 	46.84 	41.02 	48.57 
EUR,02992000,BE	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02992000,CY	295.27 	299.49 	295.58 	350.00 	178.40 	172.90 	201.00 	251.50 	281.30 	139.20 	93.1 	99.8 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,02992000,EL	194.03 	199.73 	199.67 	217.72 	207.78 	212.97 	207.71 	198.45 	194.38 	187.04 	181.69 	172.98 	141.77 	130.80 	135.40 	119.32 	129.46 	106.17 	97.30 	91.39 
EUR,02992000,ES	44.18 	117.15 	92.27 	61.51 	58.91 	58.14 	66.51 	65.42 	65.27 	62.83 	67.07 	65.73 	63.25 	56.11 	52.05 	55.30 	64.89 	69.99 	81.73 	77.38 
EUR,02992000,HU	: 	: 	: 	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	32.11 	39.49 	: 	: 	95.77 
EUR,02992000,MT	23.58 	18.84 	21.29 	23.65 	58.93 	19.03 	21.05 	24.62 	23.63 	22.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04110000,AT	: 	48.51 	57.58 	49.98 	61.03 	46.49 	49.12 	39.48 	33.29 	37.56 	31.13 	34.04 	40.81 	30.36 	24.05 	27.42 	35.73 	39.40 	29.65 	32.05 
EUR,04110000,BE	94.27 	104.30 	69.06 	110.64 	66.69 	75.19 	92.97 	80.92 	75.38 	78.37 	64.09 	79.51 	97.69 	95.25 	68.83 	57.44 	44.13 	46.23 	46.90 	40.21 
EUR,04110000,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.85 	33.02 	20.39 	26.33 	32.16 	19.71 	: 
EUR,04110000,CY	111.63 	67.45 	59.68 	59.00 	58.40 	50.30 	48.80 	69.70 	64.80 	79.00 	68.3 	65.4 	75.18 	73.47 	49.55 	: 	: 	: 	: 	: 
EUR,04110000,CZ	68.06 	65.58 	59.60 	57.11 	50.26 	47.83 	55.93 	49.35 	44.20 	55.87 	41.24 	44.78 	43.56 	41.05 	36.05 	26.81 	33.07 	32.93 	38.58 	33.05 
EUR,04110000,DE	55.82 	54.67 	49.57 	54.33 	47.25 	41.50 	44.20 	40.90 	42.60 	41.40 	39.00 	37.70 	45.10 	39.70 	32.36 	25.90 	34.38 	38.73 	36.01 	33.56 
EUR,04110000,DK	91.40 	97.00 	89.30 	74.70 	130.12 	126.27 	118.46 	110.43 	108.04 	103.53 	104.21 	107.70 	109.66 	101.08 	89.91 	84.48 	99.32 	88.82 	102.45 	74.46 
EUR,04110000,EL	94.30 	81.64 	86.23 	77.90 	96.73 	79.23 	85.25 	79.05 	93.63 	89.42 	86.31 	82.43 	83.26 	81.12 	73.23 	72.48 	81.43 	82.98 	62.30 	60.13 
EUR,04110000,ES	50.31 	46.81 	49.34 	48.60 	37.87 	37.98 	51.25 	41.37 	32.53 	54.71 	40.28 	37.50 	43.99 	46.70 	44.56 	34.54 	39.84 	37.26 	32.73 	32.07 
EUR,04110000,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.78 	22.63 	20.79 	20.39 	24.88 	21.82 	27.89 	36.88 	35.97 	30.33 
EUR,04110000,HR	59.29 	55.76 	49.92 	53.20 	52.07 	49.7 	47.5 	44.67 	56.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04110000,HU	70.12 	70.85 	52.41 	53.29 	50.81 	49.16 	46.13 	44.17 	40.47 	48.86 	38.70 	36.81 	45.05 	34.67 	33.41 	25.40 	31.72 	27.36 	28.89 	22.65 
EUR,04110000,IE	70.40 	69.60 	60.00 	60.00 	60.00 	60 	56 	52 	52.00 	52.00 	63.62 	61.98 	72.70 	64.06 	56.15 	46.18 	50.53 	53.30 	57.38 	49.08 
EUR,04110000,LT	69.51 	50.71 	44.80 	51.79 	46.94 	47.71 	59.01 	43.80 	40.88 	84.12 	51.55 	44.09 	49.49 	46.55 	31.32 	27.70 	25.94 	: 	: 	: 
EUR,04110000,LV	106.96 	96.60 	89.12 	56.62 	51.75 	56.19 	66.15 	65.3 	55 	61.8 	56.28 	51.73 	46.68 	46.58 	32.63 	50.23 	32.90 	39.74 	48.13 	57.47 
EUR,04110000,MT	27.32 	25.41 	23.40 	20.04 	30.83 	19.66 	19.71 	29.14 	21.05 	18.58 	28.52 	24.67 	19.28 	21.84 	19.57 	27.51 	37.55 	17.12 	23.16 	26.95 
EUR,04110000,NL	94.24 	80.82 	65.91 	104.92 	70.38 	68.42 	80.7 	76 	67.00 	64.00 	70.00 	72.00 	67.00 	79.75 	68.10 	60.20 	82.25 	65.45 	70.53 	60.46 
EUR,04110000,PL	31.03 p	28.76 	31.53 	28.38 	27.72 	26.31 	28.24 	23.29 	26.06 	34.46 	23.63 	26.15 	26.25 	22.33 	23.66 	17.63 	17.96 	25.04 	34.80 	20.25 
EUR,04110000,PT	62.20 	49.51 	44.98 	58.65 	46.00 	58.19 	72.43 	68.18 	64.61 	83.61 	62.65 	61.26 	54.63 	49.99 	56.90 	50.07 	50.37 	39.14 	49.05 	29.50 
EUR,04110000,RO	106.00 	104.43 	89.30 	86.63 	88.86 	80.79 	84.41 	85.66 	70.53 	89.50 	69.34 	81.30 	86.71 	59.84 	66.83 	46.30 	46.91 	61.12 	50.51 	63.37 
EUR,04110000,SE	106.82 	94.38 	82.57 	92.55 	76.47 	75.94 	90.39 	82.72 	67.89 	74.76 	84.85 	82.37 	94.96 	65.26 	50.21 	56.55 	65.70 	57.97 	57.91 	59.16 
EUR,04110000,SI	: c	100.68 	: c	95.20 	83.64 	79.18 	75.33 	69.79 	62.21 	70.60 	64.45 	58.64 	67.79 	60.68 	50.21 	38.68 	56.53 	61.72 	52.67 	: 
EUR,04110000,SK	76.86 	61.40 	57.68 	51.96 	59.72 	59.07 	60.39 	58.62 	54.72 	52.45 	50.72 	35.70 	31.50 	21.54 	23.65 	18.21 	24.90 	20.59 	24.34 	25.26 
EUR,04110000,UK	87.69 	76.57 	56.75 	81.66 	68.79 	64.94 	54.33 	54.45 	49.63 	57.11 	47.76 	49.77 	57.82 	57.87 	59.71 	48.74 	53.21 	58.14 	49.03 	46.42 
EUR,04121000,AT	: 	27.17 	: 	: 	: 	: 	: 	: 	: 	: 	25.39 	34.10 	25.66 	: 	30.63 	: 	: 	: 	43.53 	32.27 
EUR,04121000,BE	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04121000,BG	30.75 	26.01 	33.32 	32.27 	23.66 	45.94 	23.94 	32.47 	21.04 	30.41 	21.03 	24.85 	29.15 	6.38 	7.92 	6.25 	6.08 	4.88 	6.04 	5.87 
EUR,04121000,CZ	118.93 	88.63 	86.23 	91.07 	87.32 	73.72 	69.59 	82.91 	59.44 	81.93 	66.21 	74.55 	71.98 	86.47 	81.46 	47.28 	57.04 	56.83 	61.73 	61.13 
EUR,04121000,DE	81.82 	203.03 	205.63 	68.63 	59.43 	89.56 	53.81 	59.08 	42.90 	60.59 	50.94 	56.30 	62.49 	102.89 	59.83 	42.05 	87.97 	70.26 	59.31 	79.25 
EUR,04121000,EL	71.70 	69.02 	58.16 	56.50 	48.35 	45.33 	45.45 	47.45 	48.19 	63.08 	53.43 	64.54 	59.90 	50.21 	51.41 	47.01 	52.93 	50.38 	45.79 	44.10 
EUR,04121000,ES	64.74 	64.86 	72.63 	54.32 	57.57 	51.22 	54.2 	54.04 	44.06 	70.25 	58.21 	58.89 	64.13 	58.80 	68.41 	53.78 	69.87 	63.90 	49.45 	64.10 
EUR,04121000,HR	69.01 	46.58 	56.44 	58.45 	44.17 	54.06 	46.58 	61.42 	38.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04121000,HU	78.91 	59.82 	53.33 	62.70 	24.23 	59.35 	52.12 	63.66 	46.76 	72.40 	48.33 	64.48 	70.17 	68.10 	43.41 	35.39 	39.10 	53.33 	7.91 	6.92 
EUR,04121000,IT	91.51 	80.04 	79.25 	78.70 	81.12 	69.47 	68.17 	72.24 	65.13 	61.50 	62.26 	60.49 	60.12 	65.46 	51.70 	49.09 	58.80 	50.18 	46.67 	50.26 
EUR,04121000,LT	: 	: 	: 	: 	: 	: 	: 	: 	484.06 	: 	: 	130.33 	37.90 	50.94 	45.16 	40.42 	42.91 	52.96 	69.06 	58.26 
EUR,04121000,MT	91.05 	78.47 	98.15 	78.22 	96.34 	67.47 	61.55 	66.89 	61.24 	55.08 	: 	56.93 	50.59 	46.92 	58.40 	43.85 	68.06 	44.02 	50.09 	46.48 
EUR,04121000,PL	44.76 p	41.03 	38.37 	32.63 	43.13 	40.19 	35.82 	30.26 	22.56 	25.81 	15.81 	20.80 	15.83 	15.26 	12.36 	12.03 	12.90 	16.29 	21.31 	15.94 
EUR,04121000,PT	96.08 	79.13 	74.07 	88.77 	75.77 	67.84 	62.05 	68.46 	51.78 	62.70 	44.32 	49.05 	39.04 	36.78 	41.94 	40.60 	46.68 	42.04 	20.30 	36.28 
EUR,04121000,RO	77.76 	66.39 	69.82 	68.37 	60.74 	72.24 	53.63 	67.5 	50.72 	79.77 	49.06 	64.99 	67.81 	37.15 	59.93 	41.47 	25.04 	32.87 	37.45 	30.45 
EUR,04121000,SI	: 	: 	: 	: 	: 	: 	: 	90.77 	51.59 	62.49 	51.98 	67.11 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04121000,SK	75.69 	72.81 	71.31 	68.78 	63.91 	66.48 	66.7 	68.79 	67.63 	61.64 	58.07 	15.93 	14.03 	11.31 	10.75 	10.69 	15.55 	16.14 	15.73 	11.01 
EUR,04122000,AT	: 	84.31 	85.50 	84.65 	88.19 	74.87 	86.38 	76.3 	64.55 	82.31 	69.31 	75.33 	66.42 	76.08 	64.06 	59.48 	71.88 	67.58 	54.94 	58.94 
EUR,04122000,BE	73.23 	71.90 	70.21 	68.56 	66.93 	65.23 	60.2 	74.22 	48.78 	90.83 	64.42 	75.97 	84.05 	83.40 	119.28 	64.60 	76.96 	86.80 	72.00 	87.95 
EUR,04122000,BG	53.87 	47.89 	50.83 	48.38 	53.27 	55.78 	53.05 	43.2 	56.34 	66.17 	60.81 	68.32 	63.11 	59.72 	61.14 	54.76 	58.02 	46.64 	38.50 	20.65 
EUR,04122000,CY	97.75 	81.25 	73.41 	80.20 	56.90 	56.80 	53.60 	57.00 	83.00 	84.00 	62 	86 	64.93 	63.22 	58.09 	: 	: 	: 	: 	: 
EUR,04122000,DE	173.42 	163.97 	159.45 	152.32 	148.63 	128.39 	116.18 	118.32 	111.73 	123.58 	86.46 	97.12 	102.01 	103.58 	98.78 	78.90 	107.87 	104.13 	92.18 	100.22 
EUR,04122000,DK	178.30 	171.00 	179.80 	187.20 	111.41 	107.10 	101.70 	104.59 	100.39 	98.42 	95.62 	112.93 	91.67 	100.95 	99.84 	88.31 	91.24 	90.84 	83.33 	97.00 
EUR,04122000,FI	183.83 	185.46 	172.04 	169.33 	168.13 	168.69 	176.6 	173.88 	149.84 	157.55 	131.55 	139.65 	132.43 	136.43 	116.45 	115.60 	115.18 	111.85 	117.77 	98.56 
EUR,04122000,HR	80.06 	72.43 	72.38 	72.58 	83.52 	79.45 	71.25 	80.97 	57.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04122000,HU	90.56 	78.97 	77.20 	69.58 	77.83 	74.55 	68.37 	75.68 	56.54 	96.77 	69.28 	78.24 	77.56 	78.57 	82.94 	61.07 	62.50 	: 	: 	: 
EUR,04122000,IE	140.00 	140.00 	140.00 	140.00 	140.00 	140 	130 	130 	130.00 	126.00 	145.38 	186.80 	181.98 	214.07 	176.97 	92.75 	137.15 	116.04 	84.84 	102.30 
EUR,04122000,LT	97.19 	83.99 	83.93 	77.21 	84.86 	81.30 	68.84 	83.16 	58.39 	83.20 	58.54 	75.53 	78.29 	75.70 	64.01 	55.86 	62.41 	52.96 	69.06 	58.26 
EUR,04122000,LU	: c	: c	: c	: c	: c	: c	239 	239 	239 	243 	230.5 	236.00 	236.00 	238.50 	265.00 	275.00 	275.00 	300.00 	103.00 	103.00 
EUR,04122000,LV	148.30 	130.13 	125.99 	129.64 	128.04 	103.68 	100.96 	114.68 	79.44 	96.63 	81.48 	106.52 	98.49 	90.02 	89.3 	68.88 	78.43 	73.48 	75.84 	77.20 
EUR,04122000,NL	70.93 	62.66 	73.20 	60.53 	72.55 	60.92 	54.28 	66 	47.00 	86.00 	63.00 	68.00 	73.90 	82.85 	83.20 	56.80 	93.50 	77.95 	59.25 	89.36 
EUR,04122000,PL	: 	: 	: 	18.82 p	20.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04122000,PT	59.83 	61.61 	58.26 	54.22 	59.50 	51.40 	51.11 	55.57 	48.24 	63.54 	48.44 	48.24 	51.44 	46.87 	56.43 	48.23 	52.51 	47.45 	34.39 	51.58 
EUR,04122000,RO	148.57 	116.89 	94.12 	63.91 	101.23 	96.54 	107.49 	89.48 	59.21 	68.61 	40.80 	51.12 	37.51 	60.70 	55.79 	48.84 	30.15 	28.60 	31.51 	30.20 
EUR,04122000,SE	112.09 	111.45 	137.37 	135.94 	143.63 	141.36 	135.7 	128.67 	139.54 	137.57 	95.02 	105.46 	126.63 	137.14 	115.50 	93.41 	126.87 	123.16 	110.59 	133.33 
EUR,04122000,SI	: c	: c	: c	: c	130.22 	132.83 	94.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04122000,UK	116.55 	111.92 	130.15 	60.12 	68.73 	74.85 	69.08 	97.22 	94.33 	138.28 	83.91 	107.47 	117.12 	116.45 	110.38 	95.36 	119.19 	117.09 	104.73 	103.32 
EUR,04191100,AT	: 	26.40 	23.69 	25.47 	26.77 	21.38 	26.11 	19.37 	21.38 	23.36 	23.09 	23.81 	21.87 	23.12 	15.27 	16.49 	20.70 	21.76 	19.48 	13.88 
EUR,04191100,BE	83.09 	59.16 	28.37 	38.25 	53.78 	33.74 	30.54 	30.62 	51.65 	40.67 	26.92 	53.37 	35.93 	51.59 	42.81 	: 	: 	: 	: 	: 
EUR,04191100,BG	16.59 	22.00 	17.92 	17.72 	23.67 	16.59 	16.73 	19.73 	17.14 	20.39 	19.43 	26.17 	23.90 	11.04 	18.57 	9.48 	8.19 	10.78 	7.11 	15.04 
EUR,04191100,CY	49.78 	37.83 	38.33 	32.20 	32.10 	33.70 	30.60 	38.30 	27.20 	43.60 	41 	52.2 	46.13 	39.3 	32.46 	: 	: 	: 	: 	: 
EUR,04191100,CZ	31.59 	26.63 	18.65 	18.75 	24.63 	14.64 	21.25 	14.91 	12.61 	19.76 	12.28 	14.11 	16.48 	14.72 	14.21 	8.63 	13.14 	13.53 	10.21 	9.69 
EUR,04191100,DE	41.27 	23.64 	17.05 	19.10 	22.99 	15.54 	14.66 	11.39 	25.03 	18.66 	9.67 	20.76 	18.92 	20.05 	17.63 	11.68 	18.67 	20.09 	15.49 	12.47 
EUR,04191100,DK	35.60 	30.70 	34.50 	33.90 	34.05 	31.84 	33.32 	35.26 	32.88 	33.70 	29.68 	33.93 	33.96 	31.51 	31.13 	26.75 	31.09 	23.96 	21.94 	17.37 
EUR,04191100,EL	43.51 	34.41 	34.97 	34.55 	47.81 	32.16 	31.59 	34.29 	40.36 	37.37 	34.93 	39.56 	37.30 	35.64 	32.83 	30.90 	39.11 	52.90 	30.22 	29.46 
EUR,04191100,ES	44.56 	34.93 	44.00 	47.14 	44.29 	39.73 	29.48 	30.28 	24.70 	25.07 	29.26 	29.97 	29.90 	30.04 	32.20 	25.23 	33.85 	36.17 	28.17 	27.47 
EUR,04191100,HR	24.65 	20.72 	16.47 	14.70 	18.91 	14.33 	18.08 	17.42 	18.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04191100,HU	37.20 	30.18 	24.29 	23.59 	28.36 	18.11 	31.16 	23.57 	18.35 	30.37 	19.44 	27.35 	26.26 	22.81 	23.87 	13.65 	20.54 	19.70 	16.27 	13.27 
EUR,04191100,LT	35.17 	24.13 	17.16 	17.88 	19.31 	16.66 	20.72 	12.16 	19.53 	22.02 	10.30 	16.62 	19.55 	16.99 	13.75 	9.02 	15.21 	18.44 	11.14 	14.05 
EUR,04191100,LU	: c	: c	: c	: c	: c	: c	55 	123 	123 	121 	116 	115.00 	115.00 	119.00 	85.00 	93.00 	93.00 	60.00 	27.00 	27.00 
EUR,04191100,LV	24.30 	20.47 	15.78 	17.42 	16.60 	14.59 	17.18 	16.04 	21.12 	21.98 	17.39 	23.21 	25.84 	14.05 	15.2 	: 	: 	: 	: 	: 
EUR,04191100,MT	20.55 	16.73 	15.07 	11.77 	21.28 	10.58 	10.71 	19.65 	12.59 	15.86 	26.15 	18.60 	21.34 	16.21 	20.31 	13.85 	25.82 	17.12 	25.42 	21.79 
EUR,04191100,NL	: 	: 	17.29 	17.80 	31.67 	15.87 	15.5 	15 	26.00 	21.00 	14.00 	21.00 	19.00 	19.10 	12.60 	7.65 	17.50 	20.80 	14.45 	10.15 
EUR,04191100,PL	31.62 p	16.74 	14.62 	18.82 	20.29 	16.27 	17.78 	14.99 	19.95 	23.17 	11.58 	16.82 	14.00 	12.88 	10.67 	8.14 	8.29 	13.47 	10.72 	8.92 
EUR,04191100,PT	28.12 	30.53 	26.46 	26.83 	29.86 	25.32 	39.65 	33.07 	32.24 	39.87 	28.99 	32.03 	28.53 	28.41 	34.48 	22.97 	15.02 	25.02 	27.76 	15.79 
EUR,04191100,RO	37.51 	41.68 	29.77 	30.95 	39.82 	24.75 	23.99 	33.64 	23.83 	33.47 	26.42 	37.80 	43.21 	23.26 	33.28 	15.04 	16.39 	23.14 	10.32 	19.64 
EUR,04191100,SE	57.15 	54.57 	39.50 	45.33 	46.01 	38.89 	37.91 	25.39 	24.81 	27.79 	18.93 	22.15 	26.42 	22.99 	20.35 	14.29 	18.88 	24.44 	18.29 	17.05 
EUR,04191100,SI	34.67 	29.53 	24.62 	23.61 	25.43 	23.66 	31.24 	24.02 	23.53 	22.35 	19.67 	22.99 	19.58 	17.14 	14.03 	12.77 	29.11 	16.37 	18.34 	15.31 
EUR,04191100,SK	31.26 	23.35 	20.06 	19.77 	23.81 	23.21 	29.44 	22.44 	23.03 	23.88 	15.11 	12.64 	12.64 	9.10 	10.93 	6.82 	8.10 	7.66 	7.67 	7.86 
EUR,04191100,UK	71.80 	44.35 	37.75 	39.29 	49.69 	33.1 	37.14 	30.7 	49.58 	36.83 	30.15 	46.04 	47.67 	44.18 	38.37 	34.04 	37.15 	40.11 	47.71 	34.98 
EUR,04191200,AT	: 	30.69 	31.71 	30.63 	33.33 	28.44 	33.28 	24.17 	28.08 	28.60 	26.39 	28.87 	25.78 	25.67 	20.38 	26.00 	28.42 	27.16 	22.96 	17.73 
EUR,04191200,BE	69.57 	49.21 	37.02 	64.86 	34.47 	29.73 	38.41 	35.85 	33.41 	37.43 	28.52 	39.80 	51.70 	45.93 	29.82 	: 	: 	: 	: 	: 
EUR,04191200,CZ	37.05 	32.67 	28.15 	28.37 	29.55 	20.12 	29.72 	20.28 	21.10 	27.73 	17.30 	19.25 	22.39 	21.90 	19.67 	12.17 	16.82 	15.61 	14.08 	13.42 
EUR,04191200,DE	48.30 	32.92 	24.79 	34.77 	30.51 	21.41 	30.89 	20.14 	22.65 	25.46 	16.17 	17.58 	23.18 	20.73 	14.65 	11.85 	22.24 	27.11 	19.21 	15.09 
EUR,04191200,ES	: 	40.18 	38.26 	36.90 	35.95 	33.64 	33.19 	: 	34.92 	36.97 	35.84 	38.04 	38.20 	40.45 	35.17 	35.61 	32.37 	35.13 	24.54 	23.76 
EUR,04191200,HR	41.19 	28.01 	29.16 	22.40 	25.51 	24.04 	24.54 	24.33 	29.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,04191200,HU	46.35 	31.04 	29.86 	30.57 	28.32 	21.63 	29.68 	22.43 	21.63 	33.30 	21.56 	24.13 	30.35 	21.14 	17.87 	17.25 	25.40 	22.84 	22.24 	22.53 
